id,artist,sculpt,name,img
ee5daf7,Resin Party,Marturin (the turtle),Fantasy Star Fillies,https://lh3.googleusercontent.com/plQqDwGQ0CwLZdo0g9FJGQDZUetvELrkr0c2CLXCyQKVjJ8iGz39oqxxaVijJ1ezqGJWXWBlGkqg0Lw0MMXpIbmWDZGWOxQRWzakfP27aqcZ32E8FDAvr1SgJeGYEDChpvKYMqa3eIM
63e7461f,Resin Party,Marturin (the turtle),Jelly Shoe,https://lh3.googleusercontent.com/mj5tdcFP7R-KOxHt4e4XEoEzedIkte6vV0dGVMrOtisVBy7Sp_X9AmSi-1LK6LH-RMDgKJ-YaNS68-kcy_5M3EBULZafhGqqBj7L2RLQPJCAX-ShoHcCyRP97h5t3E3Up7kVdVQ2Ymc
cb39e239,Resin Party,Marturin (the turtle),Pink Nightmare,https://lh6.googleusercontent.com/fmnoT5j0vnbQu9fea19KxXL7pvhjN6LHyeCFBKWU7BgAkI1URVeMnaEiUKarYOF5e08dstRma4V1mqMPoNCKOftCCsh3QLJMugJs6ewPcr67TXAgdOCMh1YKpDWpI8jCad8szb-GTPc
8aa11ed1,Resin Party,Marturin (the turtle),Icebreakers,https://lh3.googleusercontent.com/wTF6rRTMzXz7SaF3SznRkBjaeLEz3qoOcb_byidzDBgZIShJIKI6zy1BYg_1nOuUhx-gAMgQh5B4aW13TG84a2l_HWKcwuFl7g57unqq4JvDe-nKt6c8dvbrlAjkj-avWd3XQhRcHRM
38b15f98,Resin Party,Marturin (the turtle),Gilt Galaxy,https://lh5.googleusercontent.com/N5vSfVEkL6OW8rVgQjoQlRQy-tbAte7wTSQCaHhTrnamIR58xUkb1rfYCvydlctXrjUSJtZFkvkdUTM2UECTX5kh4cXXj4CnGytJSg0PW_-BnV1klwUKREmcaOkuVguYm07hLtPFk3o
d25fea06,Resin Party,Marturin (the turtle),Grape Fanta,https://lh4.googleusercontent.com/w8SlFsJy3qLGVqPtWpAROwHQfCZNQ8bAfk-HLTEBmo25e4y69lvzWWlCG9vVjBWiwUpZPRYwwJqmsDffgUGVxYXYkSAbpytPDky-NvZ9znMgE3gqRg0HSbFmkz_Hv3SOi9A_qE9wsWw
99c37a41,Resin Party,Marturin (the turtle),Cosmic Turple,https://lh4.googleusercontent.com/fUqUyLtewcZ72v7oKyBWdvUTJXvLnJTyj1IV5P7TDV4gkjIFj39UUwhRj8dsyDRNYgmiAkYBiedji48KMz8SK-mIZnPVRKV_h9wjxq5irmnEH8AuiT0SMxyODOd39_IeQldxr1TBn2I
dee8d8ed,Resin Party,Marturin (the turtle),Cooled Magma,https://lh6.googleusercontent.com/8x-OKpGpAzNRmJlF5xQ_29s-aVPchf4sHM9elEKsKhTdeuSAfBMU6ORApBCIfomo332lAHNaCUaZJopU4dNvElaE_xr__Er9mJGJt8pl6ufgCBJ3c3a2h1zkyzmCifobl1k923QQJYg
ccba9b40,Resin Party,Marturin (the turtle),Agave,https://lh4.googleusercontent.com/oFuOXGiLRODEbJNurxNg6TbazXOw0lQb_xuzY1T-0lS2Pd9s8IFcE2V5SiIohOCSsQJl9FDNVn_UE-aOZe7IOUBwT7uYuu-PT8gGaWsi4xQlLwIxz4q5V43RCAYV_oVgSbnfd9DoJo4
539899e9,Resin Party,Marturin (the turtle),Prototype,https://lh3.googleusercontent.com/ZwRE4Q6X3j40hpR3DUrKX-0tUZ0q0RysXbX8MAwYm3oZ4N1dWxUeMc3OjkW9MMJZqAwmVkRwPZAz2oSxyXVAAgh-jPyw6a8sdWEaj-V6wL1Fd_9FP70tkp5xs65d38CLkkNoEFcDd_g
