id,artist,sculpt,name,img
657a8f76,Ritual Master,The Night Mutant,Clay Master,https://lh4.googleusercontent.com/63W_EAJF6BIdlGYyB2nLpxXt4sC8reaAzcH0CS69tjt-5Srif6e8upH1Ze2ihLCDD3EPON3XE8FIz-5tOGby0B-E4Ri1KxsuzYQnwXj_5wnJDS3ASEmawut-cIPjzhYaY1kIvmkT69M
2dd712b8,Ritual Master,The Night Mutant,,https://lh6.googleusercontent.com/GEFwk30AQ808s_i--YQwRnICsr68gvuJ5G7MCDbqkFAO8_XdRc3TE17DsB4Lbs4W1o68L1yipOynnJMdeDQARhmMcG8NX2s-LbV5cFGA8ArAfd-pLwuPnlZMXsLLDjka_TmQv1e5ays
dd5585cf,Ritual Master,The Night Mutant,,https://lh4.googleusercontent.com/oA8BfR6Rxn5W-1wUpidttlUN--nBqNmRUnxCsCenednYdkORGoa7zAObMhNaMh3WtgVUv5zIplFGwpugq93zmpRdgUGuMKkNLw3g7RLfnEbJig6CIWKFIkQx6rmrJXafw64m2n__JPs
ba9a7e0,Ritual Master,The Night Mutant,Sludge (HP),https://lh6.googleusercontent.com/Jbn-b0QUFLAd0HHKjedVP674eav08QQu19VHKi4s8YyDgL3zK3Bay0eicq6Tuf9h5a-tM1TVdNYTWINk2ggc7QfLrIstOTI_FrZ485oJv5s_MQjTxsCgu4UsHvmmNKhKAh34WN1mdG0
7052caa3,Ritual Master,The Night Mutant,Ogre (HP),https://lh3.googleusercontent.com/_JsgIwhdx7zwO9YXRiPtN7mGyEuH5LNWOzmCepJKbn51liwyTspK6VMN5r54GwZ9hUYjx5kuJ-CnU0uiqGqKu0YqLsg6Kq2EPVY5SDt1xmlNVn75DpzpAynyljZw-hatuXIzHvGlArE
47dcd172,Ritual Master,The Night Mutant,Neon Maniac,https://lh3.googleusercontent.com/GSLW68bvyYS3jCWh5ekw99NDcVkajiSzNHu98kelc8Z8pV0J31UXWoyRorPZhuaXNP3KciJQ-7WIg6cr_nmhWgFocddncGI6YNog461NfuyP3vd3Hkkb8NvNLfQuSYpn9D-QziR9PBo
b38bca9e,Ritual Master,The Night Mutant,Eraser Head,https://lh6.googleusercontent.com/AJAyIwu7fOOEBniSzUY6-7raQJPU8qvpuQQo_ao4aOf5ZjdNb6bYyN6rhGBd2VifzSAOYaawDwVP3PwcIULi8olLv_eVosBreJ4TLWela6YKKoAQqJzD4LzgO4JMuXw_JY-sdvd8w-k
f54c4580,Ritual Master,The Night Mutant,Toxic,https://lh6.googleusercontent.com/IVYVUb6sjCHobSBOOTAuZ0KWFwuS__aOcWtq4uXEclr55ZElD3cSQ0AXOa8V78kxnsD8Ekk3l98CHDJ4vBRQMOjrjCPxawHc27COWdm8HHyfeV6tuOXhc5l1HwFn-VZNXY4VWXEnSEQ
c15f4c17,Ritual Master,The Night Mutant,Gem,https://lh3.googleusercontent.com/tDudvL1vXl9Yzgh19GVvDKnK55XYRiNM7iCxSUzyDDfMBXiEfbSckm4tkqxE2YOt4HwPSQ9pN0otqVXGlfGkAIt653ZGwwUEx6kRLuuPYXDVs4TJ6L5ZQ5NGfE-mQZ1-pKXdUxFzv0I
50b16bac,Ritual Master,The Night Mutant,Fruitsnack,https://lh6.googleusercontent.com/tWLLTFYL97CIhwiEfNDmDLECVevvnhRjJjepWD5Kta8_Uj7_FfDiGGbSqUWxbNAW_IkmZ3yKGKqpnhZYJzA2mvOxm_5m6bUSXwKuZ4CL-NfSr-LywJpuM3-fRoNGELj6celA3JqMCBc
4cb34325,Ritual Master,The Night Mutant,Cheetah,https://lh3.googleusercontent.com/Px5ooKJ9rT-zc0eJmYzCNcuLEH94oZDqa0JQlrIVLDXHtSCfXyuGsMx68YZytlAKPVcJG4zZn2ihwKZc5EjzDqAiDsMih9ZoOD1nRSDJaxOZSJkOqegnl8X2rciCdPo9F5r3C_zI86g
34447ac6,Ritual Master,The Night Mutant,Cloud,https://lh5.googleusercontent.com/PMK7No19kbho-YcXqzTLcz7WN89FWEXfCVRkcz5ioKIA4aEUEw7OUWjYeRNZfbpdi5cv4HmMZn8JaVGnHvFXE6IRNdxdIa_qRdydl1RpWrqQbt8SaORBaGeS9ZpIup_1wvPV1OYU2O0
fde2d828,Ritual Master,The Night Mutant,Purple Mist,https://lh5.googleusercontent.com/a65qZHG8oaYFwtZl0yk9VdhVh2BMHXPJixFZSHol25D14GYIV4-dJRHTGtI9p-jyXFFJ6QNc5Ql66NT1-EpdBu01P_nL8Aw6VIjEJpNhoJCFZ6kfek5SQ6c9l_P5Z_dj1jRM3tIV5l4
6099d85,Ritual Master,The Night Mutant,Crimson Freak,https://lh4.googleusercontent.com/3lXu0UmleXJLs0T5jLbGHcPWYOZh0JJkbEgWkXaLE9QLFkMr8kABHJ6wZ77JHG8IIW5hCqHCMPzu2kHFXYEnb_z0k4_kOftl21YXfbgHqPhN1jAy6lXS0sAe3hyouwCzoL4z3WpLEtY
