id,artist,sculpt,name,img
d6089f55,rtg_caps_,SA Blank,Blue Capped,https://lh3.googleusercontent.com/s1HEfoSIOVvbRX882NkA_4lTexs4pWxYDhs4PgIDon1SusKKp5vsZTXR6dU0Ex8Vpeq8U_Ls_-Wg2BHPuznFld4VL7_XdJCZHWu5pAicG5NNtS7zrNZB3e4IfMnKBxRtSZPQ4ArKk-w
4d5d7762,rtg_caps_,SA Blank,Orange Juice Drips,https://lh6.googleusercontent.com/EnMQENejx3S4GedqQCZEa7CcIVmEafGTjgyCrUiaXuFdZeNhoMQtHqbfeqlSiSNT26rFovmFD8X4JZoU_iYGhG2q6BvmtwNc3XLLUqhHwirKatcCieMliLatHLrrnK3qmLJVR1W4QeY
53a330ef,rtg_caps_,SA Blank,Lime Juice Drips,https://lh3.googleusercontent.com/3ZzVERV7tCvKnolrSKNoj9jBzfcxIr7tQ95EtxF54N-unYSvP-J09iUzGPlchLBqbVt1wBgzR6TRTdjORNPhn3fGwHuv8NDIAJeHNPf4CSyM2P1tPpibbReGh35Q4Srr1Tok4IfHyFI
7b6fd41b,rtg_caps_,SA Blank,Twisted Lime Juice Drips,https://lh6.googleusercontent.com/EICjo2WzHgfLYv7H9OKOBfiO0E4OjiHbunCc20qtAhvV_0sWmvQOE6kLbtoObV7OvZ6j7GSKy2sfk4dgGZ3h60epgBvpr_Eo5qI2_eY1eotud6_e9MQv8MaerX85RrPXJ2-eGt-mzXw
9a7e3694,rtg_caps_,SA Blank,Spring Bling,https://lh4.googleusercontent.com/zG1AR4nzRUP_esPbfjJXhF-rIZLLcN2s3t_vnANGug3K--X1aOM66KdfcH1KrDujQYi4Auya8ElwMcTPi8pwlcpXMomBl6v045fCpf7nw1ksPcu1o9oSX0RQX7K0B6G4nNtHc6yFR0o
bae673b6,rtg_caps_,SA Blank,Miami Night Light,https://lh4.googleusercontent.com/noDUUjHoFs-S0zBorl_CKeqoEstq0cxeO1WSqCb_tw7nAGaJcHuGXIR4rOv-MfiYVhBdpZGBfJZQRn-JKVE36Iw3dZsh8jdIgRgMxHAbIzPmdf2oNQfteqwgORiFiMx6YBKY4DzYh-4
30bb5727,rtg_caps_,Encapsulated,Encapsulated,https://lh4.googleusercontent.com/wbfeY4MWx68UyyKZLxCqKYMk2GpBYsZ8QLflnNLko7jLwW5S-ZwwOs-EwHktBHQQtdFM1zU6rE7GIgEyRflP_yCi1csI9neTN9DOfJ3t3y7T1lWeafRuWP-Sks3MKNtfTARbdPQTyBE
5bfc6cba,rtg_caps_,Old Birdo,Speckled Mono,https://lh6.googleusercontent.com/eJvo_WB5zbQVOofiYxdNHNLlHDXHNysd8afAjbDm6qWqds6ypGlq-vya7iCbqLvBHmqNWQwP6Tb7dirzWxP-ZrlWtKdnIO0tytUNLEZhbWMU9M9AE6rTPjtWb_34CKAWzJ9GVARX9f8
c69553a5,rtg_caps_,Old Birdo,Mono,https://lh5.googleusercontent.com/xiJDCcQbg6m5Pq1PSa4DtA3j46YKH1-fSiS9T2gYrlY0xDvMWGUItE4xv2GiUfNw_wIwEBTRu3cIfMucmyayntiUJujcoRPYtVQFC3h17a6-16a_yCTd4e4sEHm_UKiD2Kq_siEl_PE
8f21a985,rtg_caps_,Old Birdo,Deluxe Blue,https://lh6.googleusercontent.com/khrjDiZkWRC3PkFtYgeijMJ5crli8taIVzw6I8ul7wciWZMSboeSvWCDTkSRRFEfH_1wyIDi3s_-ra5vd6VfmfC0FYPhgwxrWVlwMm65LFskJy-Zrmdis7Km24VvoiNKrch9B1AthiI
2f5c3685,rtg_caps_,Old Birdo,Gold,https://lh3.googleusercontent.com/7JYnwto29FenwrQxAdgdskr9vXX5LRiae4z-dRuOxNDu0bO8HrCzb-TYfJnag2WpCPUddGrxaXNc-LtMGUviv2_nAh-YqOklmWljYrJ_FMFpNtTrgoQcveMXc6fMi0EP4gBAtzJVvTc
447a7160,rtg_caps_,Old Birdo,Pink Slime Edition,https://lh6.googleusercontent.com/nwJYqAkgqojViB66_7zAIOjNcgi6753XlnZ-Cgis5KruQK4-4qVxTU2vDuWxpOAU4u_CltpEFZf27jTGEEJ2TLjHv8zuklurPdDqDlLrooVRcezmTLBlCkstBRfDB_MVeypyywYOjOo
43e08aac,rtg_caps_,Old Birdo,Green Slime Edition,https://lh3.googleusercontent.com/3Lr59ZHe2zVud-QtORyghu_umRec1jWmLA63DmgqTMBCFXPnkptVzxXylEpmyszZ1YcCBF9X2-dt4-Xd-lvMVZ8HwTQUJFTtngebOetDZkercSdSBTNdlru-eTiKmIhfiFnEQybhtoc
ad77e5ba,rtg_caps_,Old Birdo,Spring Bling,https://lh4.googleusercontent.com/-wQbpiUImsCaR0ErtNbt8_RHt-BhbLTia-TIFeFnk6_4WhkaqowpQUOIWi_qVj1rcu_AZLQ2NrXx8tcMJICYIDcGPiMomreqqVhozmKAtWduHo5jnnfRrei_XzJdEDdkvPfMedXeGE0
cce6af38,rtg_caps_,Old Birdo,Miami Night Light,https://lh5.googleusercontent.com/cIN_VrBrA_a4qNTHh29VMo0j2w7ZOkLT-7DmMLf-cG2xyO5IHa3S6PUbCvCsqGBIzWcmpGkK1czin-a5WO_dKq8diQTKLDfbcxYdZPlN4XtGFiSvYIoLioJ7ss0HvSTCYAR08jgxW3M
b88730b0,rtg_caps_,Old Birdo,Grape Science,https://lh4.googleusercontent.com/mKe8YfkJLWO1V8OfbRl36kB1CLtIAQz8Gupr5OBaRak4POcwiCRMZPExW0fM7tNIzCsDF-cCi85fxTvNKujztOF1Ab-O3pf0yckjgYpsSB8qaw8-d-FeP4vfUH4BU_yLnjNf5zG2f2E
5e513b41,rtg_caps_,Old Birdo,Mr. Banana Grabber,https://lh4.googleusercontent.com/lY93qlfZh1BEnv2BbIyfrTK5inpDwdxGTbr9mJbBhUcixydBCd-pcwKvRHRwhqR5jBnN8lAcisbxzb0Z5IKaUcjoP9-6TeNDJx6FebzvJ750_L2Maff3Y0kijmaxHSuBGhZDWZzo1OI
19fe7306,rtg_caps_,Old Birdo,Lemon Jello Mold,https://lh4.googleusercontent.com/12QWyH00UzVts52CRYqt7XqmRVsJSMQJgXWuo2gIOA225nrLz3lsv_pRjwYWMFK_BmBSfijlSlU2CK069gwRyZxtLCjaYf6i5GYl4YZfd4P-6FxMPpeCPwe14di0rsNpI6I0OUW0sUU
d1696e7f,rtg_caps_,Old Birdo,Orange Jello Mold,https://lh6.googleusercontent.com/mtBoxZRXLW9mtb-5aVrUTwN3RW8_ty10zU5tvPut3t0uigeEgfVRHUY8VA5Yg1e3kTSvJSkeV0UltIBM6DCW1GuA2gxKjA6Kd7IZVImPDPr3L8ufqaUeqTRcsw1zfk-Ul00mjSQzeVk
3b46416e,rtg_caps_,Old Birdo,Eggplant Jello Mold,https://lh5.googleusercontent.com/7RE1cSbHINPWLAT5zfSGS5wRb_BIjeHg0S4zY45mjNbMoG-Tc8dz0xFjO70XB3msOgW_4YsyRikDFPDsFywPxI_iEzN9noNUF0EG0UMAW710q22pMwot9HwcuwnXgBdYnhsHUcvUBYg
3252764c,rtg_caps_,LogJam,Pink Slime Edition,https://lh6.googleusercontent.com/UHQ3ntDFE1nr7ommXfq7x4Di3-HBCZpJGhLRu1sUA334bkB_h1gWX8kEWaaFYhYcaWUbTGq5SrGCjKT6hHLAQ_MYfe6ffONPIPSgH4tgieslKUzmbJLn5xiUVwMEwI-81pIVLstA_Mo
dd88c58e,rtg_caps_,LogJam,Log O’ Gold,https://lh6.googleusercontent.com/Ap-vhlH270f57QD3uyDIMcM3dhRnc-jQXYPKwNdW41IdfkpuTE8CAp1WmB5_kzL6xZVmoce5Jgzx079zzZtUW2PULtP86fFv6I46HQW6K0XBUCDd1MKwzo-Zaq9tjllimZY_QfTKJyI
81d9c619,rtg_caps_,LogJam,Spring Bling,https://lh4.googleusercontent.com/MwsgIBIaj000iquTG0jTmdJ1yj-tvIzy6fP2yDW4o5P0Z7nvZe8t3Hs7D4qa6KqK3CMypcUt1fp-GYdqmF9VOywy8MM7wpc4iB0U86nBjUXuk_OmnpL2KqjWg036jrYp0zViLQD1IJ0
3fcdd765,rtg_caps_,LogJam,Miami Night Light,https://lh4.googleusercontent.com/msyBaR8wfWBnl8xaH_LQ9uavvqEvk68CrpAsT9--tTSq-A2QwnUDywPm5V92KpAjY9xG_nLd2-N7YhrqOgNq9D87sQPdFOW1x3PMLza47w2pdVF-vd6jF5qdIYI6Mcq32Sjdk5s2bFo
