id,artist,sculpt,name,img
c2c84209,Rubrehose,Big Bad Wolf (BBW),Prototype,https://lh4.googleusercontent.com/x0p5w6eZCbqhxohlbcK5YJnu43TKpdGBut2j4wb0eF7MLPqERU7Yxpft-WXQslAvqUq1rwHZPzBtxfTNDrzi8gJocspB5J_yJ5BcJNF4RUziHiRHniX3GpnlKqK2QKCeWrGCSrelBBE
b5cf729f,Rubrehose,Big Bad Wolf (BBW),Prototype,https://lh3.googleusercontent.com/nxiFORdq2ZIDVVwNciUH7Ib1LrsNBSRjGX8iYdKy1F8omFv8oUPrrDLgFgrnGrd99OOUKHh-Y3CSOvFMaSsJI8HC7Jqba561aYRYZbO6AH58BAXnh4LolJD7r6T1CIShr_PEai3Q0R4
6c301c2c,Rubrehose,Big Bad Wolf (BBW),Sheep’s Clothes,https://lh3.googleusercontent.com/8i41CRQN7tCi3OkLPsoihHNGyNMuxoj__tNU4BoFeNQv_1VTVUfBfBefgF4olynoSh2qDPiw8MnA16KqhfhiJ7tT8KgklvnpTaIdBWl96w-7SJtV9xYTdTyOdEJ8G1kNj7ilrwHPlBk
aa3f6154,Rubrehose,Big Bad Wolf (BBW),Sheep’s Clothes (1/1 Gold Tooth Variant),https://lh3.googleusercontent.com/-gb6d-HS6WvEieWtmdo4fKJvt4xkYY_ZFmC1m-ZPEKavJKGk-pA_hmaN77d7MnwbO8h9gSrjGIIgqzKGo24fh4fxwF41HQoIvsNOhqoDZLz3iWFZnKJF6UT6VK_wfR0aDzT_AQqU-e4
89d3ce7a,Rubrehose,Big Bad Wolf (BBW),Black Sheep,https://lh3.googleusercontent.com/-8pQBlnxjHGtYMoBAJ3NLtaHwY3se4XIxmKr-T0ptzrSUtFEfs9Z-0Xp5hYMnCSFKOmlp89K8d2kU8SGw4_z5FhnuCSunO1_S65wWHB_UaW7tRyrhD0VQ9jjLPFilVofCkWoEqmw4Tc
4e81b67d,Rubrehose,Big Bad Wolf (BBW),Lionel Snitchie,https://lh5.googleusercontent.com/q-nsaFnPGkXmUnIvYYTKWkJ3pBESwIkeKJxvnE1wkaD3fgX3rqv6E4Bx2pHud4dNfbPHpCwr0PkHX0OAgCBRw_m1H1N0RtRIYvyPa5J4chPnwQADaCFSKRQQhAHZJTISgA4CiyIkfQ8
7d99b039,Rubrehose,Big Bad Wolf (BBW),Lionel Snitchie (Variant),https://lh5.googleusercontent.com/EcdiZmkHAO6SAANWhxpgtl5fHRZpz83JeXVANbJb8Zwxxvw8YmVOW0u_fIAwMscc1oe3QMCe1doyanNMgp_v1qP4oTUhKgg-sHo7yDBQstR2C6HWREkeJXHaNsrWTOJ-e4wpmjK7kHE
a1017509,Rubrehose,Big Bad Wolf (BBW),Motley Chew,https://lh4.googleusercontent.com/DChNP8InCG0M48qiWoFCF8XDN6i9mBz5fI69Vi7ac3zVrkttj7Q2OnrNUjnUFYVvk82P9cdQJYZNCfC378P4w1q3dV8r-QhfS2H6_4JO_tXlQ6HsBQcbv4QEGndioAkblAhj0pTDOR4
453bc0a3,Rubrehose,Big Bad Wolf (BBW),The BBW,https://lh5.googleusercontent.com/UFVIbbIsbt5ijJ3qaHRaqEXjtkZFPf3J4xWkcXAA42wmczcCo7S9F-b1tmgQixMvUb56-ENx_cU3KMzsCbkYu26qvS3uXFnGdlIn7GmvLn8odH6YElejn6KnOIHm5luGef3l9UcSikA
1766d2af,Rubrehose,Big Bad Wolf (BBW),The Big Bad Wolf of Wall Street,https://lh3.googleusercontent.com/JPkRSZc5rTLuorLhQsRUrA7nDzu_oj8xSTYJCbTEvib7W4pWeIJh2ZFZFidDsf9PcP4_YBY4dvkruZJ0fqXZl5M1dRoKfJUirsv-b_k17-z9llp6eN0-kgnFblZWeFFVaswJP5GjcrY
