id,artist,sculpt,name,img
675d1ad8,Sandun,Lord Of Terror,Red,https://lh4.googleusercontent.com/TmKGV1kIqfgMAloV2a2dcaGF3GTXmLCw8nXhc2lwAhGCmU9HD69QHAFfw6fyySEfPzUDEfqc0QP4Qe4TqpnDlAG1Dsva-Ngv5OZ9aQ1Mc3JwZYhwvTEdPKq68oTTCCt7twcyfeQgBOE
d996c31f,Sandun,Lord Of Terror,Red B,https://lh5.googleusercontent.com/nlDEb-w9p1zDkjHAu7og3y7FHTEFLdl-5etJG73myVo-EBsrOhW_DnlP29gRnT5fD74tqmwzCLMYhf6OTACQZS0qlQqXqGxgUTcDUTaQhxTcWiCenpqmY5W38-v9Zxu4VG03wUmBIps
2d5ce0e6,Sandun,Lord Of Terror,White,https://lh6.googleusercontent.com/vN-BGCnN4fzpIBI9pnLp2CIb7l6zfu8mjBFpS6t22IxJiSiQs7RZwIns4W56mRC0we2Cmxi4uh_8NoRV02hS7UK78J7rqyteSjuRxEDPlxXWGub2ALT0RHa5F4WTC0JmsfzyMCwtN7I
fc24beec,Sandun,Lord Of Terror,White B,https://lh3.googleusercontent.com/1H_n7iPNkAiA0tPxfV3x_2p-3biKsyJBytCwuU6uAbnCZw33hCXiBjGMoHRLWRKEf_DIcKTC30A-tvR3iikwhC4PTrd-5nKEnf2FrYHHx-tGfpMuWHFm9l-hm4TzsFacp-mcbwBBWOg
b60e3174,Sandun,Lord Of Terror,Cranberry,https://lh5.googleusercontent.com/bgj8yQMXRsHk-9UQggQGWwkoLcqdSYN8DMqsjhTs60FSLU-wgJC2ZMx2zGIgAWgKA2_yZOKye_ygB-gUWlyQorMyvW6llwSVEV3aFeNSOjRJOHBGfkmxSZ_sFAKpcNNlw7rEe0t3HNs
746bc3b0,Sandun,Lord Of Terror,Cranberry B,https://lh3.googleusercontent.com/uCOHqtWXHdsrj7_2bu0O9Yr9Rs2ym0DtQ8F5SvoqWY9PI-KH0Ni5JKq-Z38jG0IKn2yo7ykydvnwjauz3QZ_lyhZrEBOuILWYZ6ET7di95PjnoCkUciL_VKzsRwAMCGDsUbDd4Trsbw
277d5241,Sandun,Lord Of Terror,Pearl Gold,https://lh6.googleusercontent.com/kx5kcX8cLQexEEJikUbqk5lwdfzqJmIlooJ3i7Ww2_biyFMTKNM8Af7Cb_Hz1pGsKEt2_AaY1km_qDN4vSt0eeU-OszxTYGBnQv1gk9wwcfhQlJkv5366xn1g_qXLxCpybolwiIFFPo
2453333a,Sandun,Lord Of Terror,Pearl Pink,https://lh3.googleusercontent.com/GRrU5xwqV9pa1flJVk7kh_8Y4QfWVRmqAwytVk9IKhq9OOyo_baPgv0KU4xQE6nxZeOzcoyA5E0Qx8ObhSXqmBuAvTE3cDePFM4cl3jrvHneREAlumeY8HZZNfnYa9SF35CiBZtoZ7k
352f68a1,Sandun,Lord Of Terror,Strawberry Syrup,https://lh6.googleusercontent.com/qlYP9pEdPXh5gqhLFKN16_2I3BoL095AOXh6IXRv62QsyNaaidOOdFCwZW9f4Ux8LUX9gmxlwQiy9xDURsC9cAg0vNeums5IvBps0SE5Jxwn9ZZItR7VxYV3iLNuyX8ga8HEAq83c4A
65dd60a,Sandun,Lord Of Terror,Black Red Wash,https://lh6.googleusercontent.com/nkypKe89FsZdTpmDTnRnkBYmq31bKlgvqJ6WcpMdUCabI2vQN4iCVeUw-kKBdcaU5gVMToSHcGMwsn_zcQPPqn3HFOnKm7MRn7cXSXLCpewkAPpyBH3Y-Ye4FnQR2N4Cqm-OqsomHVw
b8f2d2f1,Sandun,Lord Of Terror,Scab,https://lh3.googleusercontent.com/fO3vaAXTE8ssHCUkNEFFPyLgKmtUlVnrZauam2-SQil5inrONcBXbSn4rG4N_wqqUD4ZU7yC9FRGWUzgNrHq_UnBM1Fv_5p9sYcbjXAGKwChHkmhiLDP3zFYDrVrciUAJJx4kjo2JgY
83037d16,Sandun,Lord Of Terror,Silver,https://lh3.googleusercontent.com/pVdVwCCPjVzldG2ffR24N_PS78iYVEklymK2Lhf-uaGdKn43M9Lep2l-wNt7iWndbesuYHUd3ZsNEKqBFlfXwpU4SQ4DdGVRmvaIrzMhBHo4a609Ov2bmEnR1_ET7QHJVIZJ7nc7uPU
8ab2493b,Sandun,Lord Of Terror Resurrected,Abyss,https://lh5.googleusercontent.com/cuN3UWa7wHILmsePzQSUVAmSjDFclVNYeDpZ1g-2t8X1zXIdQv_VRQOEg601T4BsFjLBIbhAgZ5SkFhQ__JhES2dULrx3gmrLTOgWIZkpz_KWSDsYoZoUa9SJphdeoTaz58vs41nzzk
80d1ce00,Sandun,Lord Of Terror Resurrected,Choco,https://lh3.googleusercontent.com/1B19FsFwpC85tjIJY8Ra77GuXeQx-4ZKY1_YzT1LN1J6nsh3JhZSEUjORyVKjjWGHfAvBjtYeMc7YkQWEMLlr-E2XYNKIxmjbz1DNhf1Ycy0b7ViF7xd9CipFP1M8Vt7sOStI4Aj75M
a3560225,Sandun,Lord Of Terror Resurrected,Vanilla,https://lh5.googleusercontent.com/WVZRohrrkcS1gMDEAUhCG207ga3Jp4CxlgP9xgH8KzSObPzwyqypU6dF9RIpJNLM_R0dUqi9P-8fwjhihjHKiIQQfoOfmodYjKrWijSbRA5JQAaPWIp18bjtGpDUOxR1F6jz9c8fF0o
c6784cae,Sandun,Lord Of Terror Resurrected,Macadamia,https://lh6.googleusercontent.com/9lhDo-x7-dqBHfMqU8ZGj32eeLEnVce9WkdpyvUTq65ZuxtppdyyGFVShWqpoISGKfuYoc7apFmKx75CohOeJSGp6UGK6f2EdLLIVaOI3RGMUy1SAGn2UpNaRSk7PjBWteacYLsjpeA
8f7be7d0,Sandun,Lord Of Terror Resurrected,Strawberry,https://lh3.googleusercontent.com/oVv34cr8V5Ljm3wIX2CtfODdGy2kvJqLnxpwa_keI7nWnIcTRIvWKuUF14x27orbJZOdl6gBGpifHfnbyUDdJFCR8DAr2_9w4gBC1UjmHll-bWVbCDsWL7jVbrA0X2ssnA9SRQMfLV4
7c3562bc,Sandun,Lord Of Terror Resurrected,Fire,https://lh6.googleusercontent.com/pLiH4xsoDVwLXXDZBCW71C-06Tfe7L_28GaAXBHsvT9ZI5TaVXSG7qL2BiA0jMsEHFwFkgNIUU6sBhPdFH_yhGhrFie-GqKPUMh3171XUZ9Lba5jer97zFQWBS7z0YbHTuYvHv36PVg
54a5fd43,Sandun,Lord Of Terror Resurrected,Red,https://lh6.googleusercontent.com/ejapsyzbpBFxWmfU7OJVSrnmwxnRp2BX0eQk58pWLvUHpW0O_eW3O9fKDq7FuTWrn80vwVDhY0zMS1oEPs54cASTAerOLdeeKE8efGnDyjiHoYj9bLfIqVZOYtWZ60liaDA3DnvRzNc
117bddbc,Sandun,Lord Of Terror Resurrected,White,https://lh6.googleusercontent.com/KXpsbKw9d_1YHRr1FoT8b3ULwN7-rmw40dJlXSCDmy1aEbtlvwHPgk14i8iae41ElsJbs2z6sQdRtixWeahBzHw94CVE4fmVs0mLZYNjPUxPhhd_WqxDhJrMt39xxxBRTC7xOsGF_7Q
c603a265,Sandun,Lord Of Terror Resurrected,Bone,https://lh3.googleusercontent.com/qVIk9NpzTLaOsBTopoYhNg29pc8j5s-HIMEXB8-uAfYWjO378tYBtAn7YGx_iTqxRQ53TfNGxaJM4FC_R2BBzK1sN_zBKnGFfB5yX-CG7qN6ntyNMMtFdf7bBtxQQJXMNVSb3AtebYg
f6dde4ba,Sandun,Lord Of Terror Resurrected,Silver,https://lh4.googleusercontent.com/Mnp3-qzB_5IQcAHNee9Cfz0FBKqrs5QE2P1U4juLy31pS90AxwDCYXtMhTi3e8HYIyUaYlpUmUhk-hHl3U_hxQcXXhuOFyS6OJwMEsvV0fgMy76AQqqmyvyuMcQZ9hKKvP8DfIVGUDw
58f377e7,Sandun,Lord Of Terror Resurrected,Earth Tones Water,https://lh3.googleusercontent.com/XKFgmPRSB2gBjTbUbQlxSZ7f50Ufoojpwyyqc2Rq90OhwbOKdzfo3tK84RZXz4FoJGU5Js8ICzaNAumb9IEt9QTuM6uheG7UwI4VgBOM7ht6RWyVB00uXD2G8KsODEPBo6bVh41HkZw
aaeceaff,Sandun,Lord Of Terror Resurrected,Earth Tones Land,https://lh6.googleusercontent.com/6-nRHFO65kTHBffGbYByxpIn1oD39farvzU8hs9aq7jqbEhA_CH8p8_Zpf-vB6EdVebmusOwEcb4aSqZgHlhCuzX155Z8LthppOExfRa41sN3hZy1lm9IUf6flrgz6JbAMI9utfALu8
c7f4a114,Sandun,Lord Of Terror Resurrected,Earth Tones Blue,https://lh3.googleusercontent.com/4JDug1fZtQjCr_vlX8dZo3DgMp2ddx6R4Z9ncwgs1ahbvWjAgNQ3RoVtrHMXBjwShJqZSZlHRrV4JZNb--pzfj6ZTz86G65TfjLekS5zSyZ_JJmjrR9akLQVT171VlWyX83gEWgmgVo
7a2b29f4,Sandun,Lord Of Terror Resurrected,Earth Tones Brown,https://lh6.googleusercontent.com/0gkMGaeD0IacmQPU3ga2-o5oQNHLaEeJIp5lhTe3RT5oIQ6sVrDRt_LYFj9I-rq_bbVtI8Cum9wEirGiR8OvijlTpj65Ia1XFX7ub5mTUztcUzM85BzKBK3h8QavLluaIGv2sRYuR-Q
c9fbc1c3,Sandun,Lord Of Terror Resurrected,Infernal Black,https://lh4.googleusercontent.com/H-gPk0xUM-xdUlsugw21pzh4fPDoqQRvFXXZybdkIfU54tH9Z7VM4-PYXCbSUJw3COv4cmenVO-VDOYE7CQJ5OKj5r0f3YNgxjQv5Yzsu-jdw4yQfx61d2PREQrnQPEjq-mJQPWraTE
cf76a34e,Sandun,Lord Of Terror Resurrected,Infernal Red,https://lh6.googleusercontent.com/orCyUWCTFK6FIutN5OoTpyUHV7xlJVYUsi4EG6vHaL4AxvfPYUMAaUYQAVEzYRAmyzgnP8UNstr8HHDSTVt1VQfiLlx-lz882ufozDpW83DNPUqMw6TV2t7MNx4yeMu7Eoz_cUImYuY
8165e4de,Sandun,Lord Of Terror Resurrected,Terror Green,https://lh3.googleusercontent.com/x56KQ_ZpCB08_VA-CM1vejxJtPy-f0hwbgErvUhepHaFa8vcVs-hlmdsNDYJACNb6M04badWHlcMhqLVEkIKCBf-nUU2c4B6THL2QcqMYq79gC9ADN0NZKi0wKY9HUBVNMZbT8jhc7E
e5dc5e0a,Sandun,Lord Of Terror Resurrected,Terror Purple,https://lh5.googleusercontent.com/-qdVnoLfi37p1DhzWOvPIr3CVhlXOVdx3lMU_ezAqXE9w1qzJ-6CyGtvM2kI0YFn2AjIoogAA759mzTzcOXJMbTqckbn2G0S7fHWUYbEm8xAAu7L--OI5QYXkqAMdsTzYyPwSsvXWYM
386850aa,Sandun,Grim Reaper,Black,https://lh4.googleusercontent.com/NYnH2WuY-RqAvszZT3mbtd1NL_CXvau6FyVXJyV3R5kkZomXu3gElXplaRcGUek8RSpNV24qhfdtQUCS08jHtxgw5zczIK1oSadbKrlA2TcSFCSqyOqf_KG8DAx2Ipue2iJWTAYdrnU
206df9d8,Sandun,Grim Reaper,Beige,https://lh3.googleusercontent.com/Gf3d9tLWFaDYHSHu1qyHxQc7EilVjLm_XrPGBKefUfu6hhhR0K10E8tNN4e7ScaLQFP7ZdLjlJaRezlo_Z255SNJwVDjlWeMRE7FmZFk-yyLqlrRU5RWp7JNOvyCzxwtuNXFfbw79kk
773a67e1,Sandun,Grim Reaper,Lazurite White,https://lh6.googleusercontent.com/vqUlGPukGZNncd-hQ2iEpdwOG4L8sTUWEC9rEDBS9x5B4sf4C-TIAJY8tIUr2nc4jYM4zBi4POUQh73UTuLfI7QF51Y3SaSzkboms4QlQjZDOMFJYMLrtr42C_nKQrBjaTEougazYEs
297c9ec3,Sandun,Grim Reaper,Lazurite Gold,https://lh3.googleusercontent.com/Nl_CIkqc1cwXAdTc5kgdvRJiM5jlU5k51YXRTwQ2zKG9yQCoeh3V8tZ2BD3pkP2PkyLph5_SUdnpFbNNoHJniQxKWs0rl0C5Y5XtkWPVfIa_Flq7dPUUQE_fUM3qTbRw9wAuVNs37LU
3be66ff8,Sandun,Grim Reaper,Earth Tones Land,https://lh5.googleusercontent.com/Q6iizzjojzwuSdeMnN6D25jcf3l6ePecYnFjQkHgxL31czb5OLkF45zoVbyZT4ZLXZRJd22blBXdZGWBSuBGndEBJGSonUookFVCk1FdpyaGwhz_kNMn57Tyh4FEB9i_HsldJ_ngfIM
