id,artist,sculpt,name,img
7bdecb26,shirouu.kaps,Kitsune Mask,Original,https://lh5.googleusercontent.com/wDMxnX_6TwUXji75hwALAvWD70EaSHXXh_h2IP9ZfN_wTZotuyDt15cb_2oL7wq3WMX2JuRdGgSP0g2H4pL-348jo0-_oEqlb2d_RgyvyJ4UdG9MutI03WspbJ8e4zN-UQ=s0
37ac3809,shirouu.kaps,Kitsune Mask,Original (V2),https://lh3.googleusercontent.com/qTx-BaWyyjhYtYC6OKaonNM0-4zE4v0ojEy7n4SbHdEfVqMQEBv9_YDLztIBQtvfyhwF-UKAtOZTDhiG_KWNftNGArukQG2ndktDFyS860RXQm6rkukmG5eExUjL4G47bQ=s0
9fccc247,shirouu.kaps,Kitsune Mask,LPB (lavender pink blue),https://lh6.googleusercontent.com/L1loIw78rP9RxbKUR5usXjJkrvoLqevRPBkid6nD7d33UudF_tEaTpaY75fBRsO7hTVeT6_EKp-NacTMWnMxSGGlMCLppI-2PgyMVV6Hd06xIgvPfB3PC_eduxe77wkNIg=s0
c370406b,shirouu.kaps,Kitsune Mask,WPB (white pink blue),https://lh6.googleusercontent.com/rz0rxDJswp9ewM9jwUeNFPN2Nxbu70tLXUvVN3eGXG_v-FWc5F9jkhT8D_TnwU7x2PJgiMMjibInmjLTGK99WWuZeRHzpWYUU_1qSA_qsWuMTaAD34cYgiK2lU1wmP5BNg=s0
7dd95651,shirouu.kaps,Kitsune Mask,BG (black gold),https://lh4.googleusercontent.com/KB1k08MTEPtDUlXlU7qttns4ZOpdrTk519MEDoU4LKFiqb60HVi-WZv6fnn8AsNjdA-LZ7aIEDjuaaekGZByH4YiXrFDzxk_i7nrL1qnxk0Eha6iQ-fyeXlX5g0AueiHOQ=s0
c13f2ebc,shirouu.kaps,Kitsune Mask,WPL (white purple lavender),https://lh5.googleusercontent.com/nFYTUkDldbaRkU2_bRCuSDx0aKkqlSr2Hoy8lUu5eDNjDQdmxRFEmoSghPrlVK1pQvidQT0gxhzIcV96zZio7v462QilbenfCzLstGXVfAy7ip758woXVkz_2Magxwqshw=s0
c8384ee8,shirouu.kaps,Kitsune Mask,WP (white pink),https://lh6.googleusercontent.com/9GKODrnDOOlvh6B--jYYHVDpWhICfNU6xenvqe2r2ZONA0XwO7NGc5ZmrL-rmzL0q8-qmWY4O-aaFeOOrt1HlHkI2qv_QhSvByeyl4p04ZHD4zgHAo3AL9VUak_GoyzPcw=s0
2936edb8,shirouu.kaps,Kitsune Mask,PTS (Prussian teal silver),https://lh5.googleusercontent.com/54mca-5jkJ0MZF8z7_74ESWUFMZ8PncNNqBklHv3ZY0pwNknWi3NsDljehLK3ZbLdbLK64hPw_A5806Nh0ZmTDkiSBGqgdHo5c6Mg6zIjgqFpd4WFDqz2bt9h4neZHxTAg=s0
6338def0,shirouu.kaps,Kitsune Mask,RT (ruby teal),https://lh6.googleusercontent.com/1jieH7JaiWtr2KHkMG8c-mJWN4gT5E-IHYMvmGMoeYWJi3GUxAMQ6ueIJzW_u9znR9p9mXafJ5f0kbV4Beq2XJfnvn0xqC5SndqNtBJDWeKpuWlWSJt9KiwfPiW0QEvFtg=s0
2897ecc5,shirouu.kaps,Kitsune Mask,DS (dutch blue sky blue),https://lh3.googleusercontent.com/_q9znE2ZiRm7H14UF-72KUQsEBhjdNFRjwQCwcybtHOI8ePYzaurV-1fCLstbb3WsMrZZNq7NNk4hjAFOQk66vSstlbGlf1sAKx_juHJPujUNPYmPVCzUeQrq2VNIfDdcA=s0
cdf36510,shirouu.kaps,Kitsune Mask,Luna,https://lh6.googleusercontent.com/utsx9HIKoR2sSGzILlRzXWEA9H8cALGLHwD96VVv73LKRqTl61rTAAXBfvVTjjED2T8rZu3qSNVLdZyzwlrvlLKBDUz98lKXZMVP6LesAX2gWH3EUDRiP3zoVIf-PuERlw=s0
862eea4a,shirouu.kaps,Kitsune Mask,Artemis,https://lh5.googleusercontent.com/qSGQFjjwJWWC2kOYJCXQ7qQy5WA2AST3_bYjqPbiGVJjW9SwaaQ6DbWhPIuS325eiPqYsxbRcksmsVQGSMeQS13V4aDDlk_VmjP7npzavf5yJxNl7p-Vn5Xe2mJEm9MHqA=s0
ca6ee692,shirouu.kaps,Kitsune Mask,SBW (sakura black white),https://lh4.googleusercontent.com/D5WXCaeoLjF4mrsQd2NeO8spTU0HrYRoDZ1XSU5Nxy3CyJU9ZhqmFGfLTslJ2WyCj3L_KfRrglPZ0gxDOJVhYQDi-ZYHmxKoelhzFcgU9uOpxGd3XPOHU0FWwpuum7HBKQ=s0
cc1e4a35,shirouu.kaps,Kitsune Mask,Diana,https://lh5.googleusercontent.com/KbF96AvLw_xSBAv27CyXkkyVSe-5j06HSY0VcCXY-Ejnj2TuwLAdWr0atOvg25t9Kvho3STLE_ive6_PktS-0_SYiuThTdXlzPEKPg7gZaGSWs_AyDITOZ3uMNFIMzOG8A=s0
84ee56f2,shirouu.kaps,Kitsune Mask,MBW (moss black white),https://lh4.googleusercontent.com/Xgs6Bkeb2kfbxyEwJ_w_F9bONAUoy4F7rXDp_uIjqbp7FqYbqTWDEQSrT1OfIz-4zaVKW67KXrQADNtVC2UelUZWulhgEE5vBTu1W-CKXmR02abRJ1KlQeokoTwUUI13-w=s0
d066fcd,shirouu.kaps,Kitsune Mask,WB (white black),https://lh5.googleusercontent.com/Fw3U6MW0jravNoJwcdwrf_BOc0HWz7-iiJbNNGcfmyaB-EaUDXd2-07pfqU1q_KkmPTgMhxkMw2tULSpRiXQy8xIRMQwPLy9tCFcSN5c6ETGED3YSNU8Fr1UDaPUgyN_NA=s0
d1bb3e34,shirouu.kaps,Kitsune Mask,Original (V3),https://lh6.googleusercontent.com/FdbHoRWJFBRQjhvCqSFsmfSqhV1GsU_0-qUzoaCUagh1-wcaauCNWnGHu9dg9ecbw5Nn-GQG7yqwzXFWmkY53vRtuq_Rw-qga8kngC5rax34PD466LL5tcMTxuyzdazE6w=s0
c208ddba,shirouu.kaps,Kitsune Mask,Holly,https://lh3.googleusercontent.com/TnFHKB956Kep42eAs_avc-gZRpWbbpbtykME4dTDsPqtgC6DM2zFUfyxe1C4271zA4FCT7KF9zeNtNar9GI7n_UkKHgfQZYk36r6VXxVjD_A3YdtS4oElXVBUpqv325iyw=s0
18b48f70,shirouu.kaps,Kitsune Mask,Lucky,https://lh5.googleusercontent.com/Ao1hqjjVDqY8EKJohoGdGTwf3d2f7gX8dV5eYs04XLWC6Y0WIsqfpgWWtBoseu-9SCD2FZEQLzPscRvOxtq1YhESEbkqk4fr8DXbCzxAxqn5fpvsRj6FxVF89VrWtdWbmQ=s0
3b325bc3,shirouu.kaps,Kitsune Mask,No Face,https://lh6.googleusercontent.com/qThC2qZo4iLxwoTX3LkvTc2EIK6oxEjJp18oU8uif5EtY_yaOqWwVv57Arw5LgH0qauaK-yrKviEki5Qo21zVjhvXPACtMPXQrU5Jan_xudwY8NKH3nb6lVv2WkhcMbsGQ=s0
6e02902a,shirouu.kaps,Nekomata,WPB (white pink black),https://lh5.googleusercontent.com/0adIQyFMp9ViGW1UQafb6TYf3pizI7T07euE1ESUd-YdoYuEzoB2AjA08SJSm7u-XAcN2SgtCF7_lcxFf7bquaejBMUnkOdhOGqZFf_DFN-JzUPvbsZ1Qk3LNiZnF_5ADg=s0
31b2d0bf,shirouu.kaps,Nekomata,LPW (lavender purple white),https://lh6.googleusercontent.com/NnONIG4LrWNAzpO9U3vbexUDfF9UbJBIIcAi09xSs9ZYbO2HuKZsUkp2JaASkk0P9xFBASaVGcKThUb7wsGG117iZPNzbXT2QEJ8yk1tFcmMt9di_cX3SILxDidn5A_Kug=s0
d81eefb9,shirouu.kaps,Nekomata,WB (white black),https://lh3.googleusercontent.com/LXedf84m77AmW0A0TWZ4JcuGFI04AsxeIp-Lmoe0iEOeJgycCP6eD1GzSnrJSXqoS7ZgByDnpfmZWpwt5Ai4RI3pC0ky8I6gIjFEhOAiToKiXO_GanEprISgzXJpyN_-WA=s0
6af832e8,shirouu.kaps,Nekomata,Spoopy,https://lh6.googleusercontent.com/J7lRVY2_gZ0lryCuKoTv2nIQjdxpZp6x7psC-UcpxziHQrpAN2ZhiAY4Lm_XG1YQmIE3euZgDJlaKR7QR99JfHaYFXhWGTs8VyArhByjMzHh9hUinxoowMhF3bhyMRq3Tg=s0
7ab414eb,shirouu.kaps,Nekomata,Original,https://lh3.googleusercontent.com/brU43eZKDTtgTGXD-n0-tikALz53EGnZVd7hhNeG078iSuWXaKjUx0KguTMipXt_nQcyqPXybthdJTwCYCuRYeQP-1UScBbwrgu0PdLDycnHzQDhQZdbFOPhL5dhJkMXlQ=s0
5437d730,shirouu.kaps,Nekomata,Stroobery,https://lh6.googleusercontent.com/mV8biVxq5SITge1QKHjmDZ0vIOydNDtpBh2BzPnPbX8nnlkT7eRIpGMpY0IEflB9GIcNHNbPj2RCwhyYyrboaiivqJeCcWm63BTFwlQ1A5zVOImYpYX9XIjLckyYhRx20A=s0
ef25a69f,shirouu.kaps,Nekomata,Virtuoso,https://lh6.googleusercontent.com/LkAbxVNxSwdQFAVEj31kya8fTxpQdXmXqnJoAVKLAC5Dc33tXrAmCby4fdlLJ1Z6b5paRlsjeyPD0AQnf99HSoOfm4--FvHkpmDOTOJJNJm2ze-OA-j83cMZiWO5xrdPJQ=s0
b6607131,shirouu.kaps,Tsuneko,Spoopy (orange),https://lh5.googleusercontent.com/Ag6J9iN_h80_r91qIvGLAVw3A_WVIZNDfrSUOLJIWozmI5cZr3NLNbOAJxomzPWbgRX9-qEU9eEBt3waPF4jX03RZSiV0xCJRMNTvQ2erLJhbvTBZVw2w-egwS6wENaJMw=s0
d803bd44,shirouu.kaps,Tsuneko,Spoopy (green),https://lh5.googleusercontent.com/E_HUTUT0rLioMbD1vfwGv5Q4-t1V96pxZkwwI1TMBTm_Jfu0qKJSNPPnz6IwosLm91U_7dPyEacReX2y-Wfl8LwSfvxjiNtJgxhPYRlEpJCgPc3yDK7YfX-tb-mRuU-Jpg=s0
