id,artist,sculpt,name,img
af97f907,Sinpra Caps,Tengu V1,OG,https://lh5.googleusercontent.com/r9Jkcs4X8QtusjE-ypxyOGmrKD8bFTB6WDPp-oJ8nULaAIH6pLwLMmPMdT0-q0pg6dNjrEstFP_DOCDJkyK7kynkTLjxWqmIJ2yqgunG_-FdCZyVA-jWDwc3DyLFqfCF0vIx900MnRE
b6fa6c51,Sinpra Caps,Tengu V1,Negative,https://lh4.googleusercontent.com/3P8_e0geUsSZxBV9awoqugTwGW5zLMvnbLUpxYNPrsoLPI8e48QS57HrkZxgzc5eX6HXcFM332VQYyvdNxs0waSrjW2f1SoYRyOY26_nAY_SLZlszHxrnmA19nq_n57o2Kc9rqYceTc
88437d46,Sinpra Caps,Tengu V1,Albino,https://lh3.googleusercontent.com/UWAUxUlZAlGB2Xcxfg8iZoE7m_TJAQXllbCu64kkorRBALScRtRyfJ5Q93EDb-bJ9H2fE2QyRB9_92Q3lLIwHfy5uVun44yu1yvZ98kxGlqImanOWk2wtIAbL-Ss0MccnWKn2u5a55g
c3919cb2,Sinpra Caps,Tengu V2,OG,https://lh4.googleusercontent.com/JNu0gu8C42EkwZUO3ciVIkLr9FU6K9J752xuaTDdeSCmS5gFgAw_Q50cr__7UaJYMEFlV-9RUDe9ybCWpSftVaRQ8R9fCF0Nm5ZB06CFrxPlql2JWnp67uYEmfNRz71qlND5SnK5VHQ
80123084,Sinpra Caps,Tengu V2,BoW,https://lh5.googleusercontent.com/rwsQS10tVUKRYvm7do3FeU5tw9-EqOVFqOLSSha_sj79rAGfvIjlrMvI80_5gP67vd4F---TvVEuRWCf6o4alWnj4n--8hB7q_Xl5bl9NRX3iFt40F4Hu2jv42dubsh9KebiTDzYdj4
b9e72283,Sinpra Caps,Tengu V2,WoB,https://lh3.googleusercontent.com/c6_TaFJNpVHqFy60Me57gLfn1MIJb-Z5Omq2pCMRJiuQlhU2RT6JptplUPQXmKai-EC_8T1PfYkmwSwlZY0bKxAozj6JcJmoe_XGqDRFPk5gqyl4Sr2CUcYfPEkVrqWs9JIsHGQOmLw
8efdb04,Sinpra Caps,Tengu V2,Marble,https://lh6.googleusercontent.com/BT9q4jkByVSExxJYW5djeAgru7DGKU6tTeB35sTiakI17osBEfHcZLGxwHT6OTTTuhci0A6elJk0eQtT9NchH31BQNZxmQn2g0je2SVw7ZU23Xr0nG1lYEo_j4x1pbpS0He1FdVT-9M
effb4300,Sinpra Caps,Tengu V2,Beige & Brown,https://lh5.googleusercontent.com/JJUAnreWk2ja6tBh8sotUe-vGOuyI3rXHmtRpZJnlHMjV-QvhqDY8Re0yHSVIiHsW_sygrLxw_brZTvSap3RCxL3i8b1BfJp57xLWrBCFFFAJwqzvv4RnRxDBkVgPGSxAnDDZBgZuLk
7f43f451,Sinpra Caps,Tengu V2,Polybius,https://lh6.googleusercontent.com/57RSzmOFHQ4ZCSoFOFJtewMMHptJCi01ruZLDm2rXJUAK4Dq3Ih06F9SjBUik0A4CSlRyqJwB32PvRsAMvweyubuTJMffXJTU_29QpZm5MVI6ypjIaZVu9GcRApD1TZh1pIp1IwT7rE
67f2f369,Sinpra Caps,Tengu V2,EVA-01,https://lh5.googleusercontent.com/zl5QjB_OOEYyu-IYz6TWpEHXpI4bXLZpDJ91jBMQWXwwuHay318Vp_cn8CH8clRwkaLD5DP2JgTjcKNPPqGjRNPLjPKCe6fR4ulRfuxzIK_T_oHGa9gxQQJHMUAfprkQDzsT3PJ-H8g
cccf5b3f,Sinpra Caps,Tengu V2,EVA-01 Berserker,https://lh6.googleusercontent.com/41AV236CnaXCEkmp9LnQHZAhz6_VyeUTjZnw2tImM3XvZE8nOikqADf-X7t5Qj3mKV0Q8cwptl3XtDNozHA7k7Jk4xP0_OgapkMxFXbCaZyucDub7ooslh1Z4jkSNRcQpBk9riz6elM
b9d960e7,Sinpra Caps,Tengu V2,Taro,https://lh4.googleusercontent.com/TH5ZBl0et1AnGAapPdfbbXmnqN-9CQ979qilWIFzOTJHPTyb9EWLmghjMoFfsHl5jqbGPa52k2FjWhlf6v8FR3aq75-MJAKL_vLw8tyRziT8y5zqYjJ7w_G1OJuXlIgU_gKX9WCxEXA
de64be80,Sinpra Caps,Tengu V2,Cafe Light,https://lh3.googleusercontent.com/bDAn_ym1t8MpoFoOLLzshAOHPIF-awD8zSV8nv77y6bX_gNzUXgORbCNuChjkHwTaybhDrfccDNKZJdnXM2z4CVQdliQrvpszsPk3Q3EwwQ7acO9XC1upFTe2I2QW4rEJyx9of1BeME
6aaedaf7,Sinpra Caps,Tengu V2,Cafe Medium,https://lh5.googleusercontent.com/mJHJ0TdEHDClxucWQcs0wGZBUN5gV0uLwcZbl7lH4ReH71MZPUDq-f--OFdOZ-YDO33dFe9FkRGMLVM8X440lUOxE8OPZ117Vyqpo3uU4GUCQ7gly1nCkhOf6HCuNKP9nHyCCaTxzw4
7eca13b3,Sinpra Caps,Tengu V2,Cafe Dark,https://lh3.googleusercontent.com/yb6CrCK9an7gTBx94lkhSa1_-9ALsEVxREA2PmL1XEljrK-k-jh94mVfgvhdwUP1gGooN_YXfd0_lyQl2QvPz-miMcEXm0epVIfA-Mi1IIXP0GyvhrrVYPY5sAoI2hOVOkyagAEsQik
7353595c,Sinpra Caps,Tengu V2,Kintsugi Snake Eyes*,https://lh5.googleusercontent.com/ul8CduJ2yhnHRBOMqnrcE7TWKU_EF9__bHrzU97FxjkaWHwYu-hNRcDTYYvnwYd9xK-BK0FXksvO-CVj2_Dk7_JMAs9cUuwa7ObU38m0D5xnRVSU7KQEzBjtxSA4cn8C5PkFSX_h7LI
9b1cde84,Sinpra Caps,Tengu V2,65% Bad*,https://lh4.googleusercontent.com/ASuFboWssKL9q8zn8Xfoxxkz7jv_rwoUrz0ehub04IBxsA4TDPUy3TD1S9vM4kQwCRt9kFXTFf1pWADK8SMIgtDXzcPXv4ETtGXYPMNEbIUqOiBGRXb4yZDInvOCbIvPtRt4xUZ0EH8
499d862e,Sinpra Caps,Tengu V2,Royal Blue,https://lh3.googleusercontent.com/Z-dTNjlvMJ5gdKy7UWaUu0hrV-ftGujTRKjIWqQMUAAX-sPzFm7h-2IlX_Rar09EoKb6ULrOOozLD0ERkt7VHiH6S-oz8s-mxaMIJ3u8PJn7r1tRjBi4mRggi37PwV21hbD7ie_OX8U
62dc0064,Sinpra Caps,Tengu V2,Nuclear Fuzz*,https://lh6.googleusercontent.com/lBV8uhBlgzwlepsNdc5u0w8GI1MLU29ng1CRCGFchn-18cyhtZcPKGZllY8my-Auy7Xq6C4tB1HHym75Kq1KBYhOgT1dHX5RV0bN5EqWZwH1UF1U29rhaHp7yXFQDZTapDxUO9fHcPg
18035d5e,Sinpra Caps,Tengu V2,Hyper Snoot,https://lh4.googleusercontent.com/tP6d9SzCuYsXxKgQS2rsuLzxMKRoYXpkhvaI18HYh7tZ4xvrG6evpNl9acIZQ__Jdvr6gvya2516j-FSmk2qoLGQudUmD-VGOAXUyoR-hwUjTs1DrH9k1oGkR4VJtzOq2_xT2xbyyzs
4334079d,Sinpra Caps,Tengu V2,Boop Unto Death,https://lh5.googleusercontent.com/avkI5Gm_v4FhtuaUaGDTxiTq_8MU5W4d_fk5_zgDQemrtvaaaMkm3jX0B1ULrBbt0GvrONuUQN9ITSHuthKYlFu4xVRIwe_qHiok2fC6JhAkbj1ZJ28sgQmr00mJPaF2o59YBGWG7-A
