id,artist,sculpt,name,img
8af06c96,Slime Scholar,7 Crowned Princes (Garb/gle v1),Belphegor (1/1),https://lh6.googleusercontent.com/UcKlBciW3EszCk630WQcFOtZGo3o03ShD1-5Ds9sLGO3o3WndDvBM9-hRfgLDGiWJxPCt5kCARfouaixEx8vYV9G7C-DlkEMFkHaeZGpUGsDjdRvYWtmZv54ADrctmiHFUVxDaWorTM
e5b3eac7,Slime Scholar,7 Crowned Princes (Garb/gle v1),Lucifer (1/1),https://lh6.googleusercontent.com/_gNMMwSF0MJueTlx3t7yEsJSgNnaSVnPEd7weYq4wvV4ftEl6Rn9YLJmqel_asBymYkby_q76OYO3WaBOjHxP4H7RW28ToCQgqDGAvaHLIzHlKTNSE07YYRtyddaMEgJfOBhVBSOR28
a03d63fd,Slime Scholar,7 Crowned Princes (Garb/gle v1),Leviathan (1/1),https://lh3.googleusercontent.com/rU9-iPEIvlI-rhyf3Da2dRnOLtkHBV0EELryQCmGoEfnYgpIo-fNOXFFql1dEU-i7esm6L0q1xJGPPey9h46XZmhD0GVe-nJDxqCRCjHUSHT28xpaodBFHGf6jJLmQ0KoLAGio5vU6k
4f58a71a,Slime Scholar,7 Crowned Princes (Garb/gle v1),Satan (1/1),https://lh3.googleusercontent.com/GUKT6RALZdrZ-E5olfRbpEvwJVZ0VCsDRSuGRUHm-UqY1ASk85Q3uO3zZZHhZ5YaBWG7N8vegy4QuFbywqnKzbKIR5oyURZbCSj1nM9YWALHQzM3eU8M_N-7iCy34ns4LJpfYRd4vcw
a1e68db7,Slime Scholar,7 Crowned Princes (Garb/gle v1),Asmodeus (1/1),https://lh5.googleusercontent.com/UZLYgfnH7Q-wWy7KomuE4V9ucL9VB5DZBG1_vhvZYSLMv8NSff4fb5LYE8oOncqRNLI4yNJvEYkTt7guxjpMdF2bwIY-RvcpEEIgGH_xuvZGiqoHC69vM2VkXwjAjWuLlj6AmCL_XUo
be9ea5f1,Slime Scholar,7 Crowned Princes (Garb/gle v1),Mammon (1/1),https://lh3.googleusercontent.com/YK_KPO8ko2sYm1_h5gbrXiAV-w2oc6lKsIngu8OzxepN0uu9K99VIgJXgJ9S9tcSIMcC4YmDGLzqaLCEaF3HlPLb0tqR7suBL7iktdxogC3G3V8NjRVxZmQNE6mAYI29A95d779gLu8
7e2a9688,Slime Scholar,7 Crowned Princes (Garb/gle v1),Beelzebub (1/1),https://lh4.googleusercontent.com/D813JZbkxdofhnfGFqLAQBvqZ-rTucnrjrHOqeA9X0pjXxXKLM1XTTQu63QCPARWRFW6KgkiB24H9wdoM4fjL1H6WrVoHxbj_gk6CAxbDFMJAh5u9RCbuiEG5jGHRjz4g8uQpQEvZnM
cefb9c08,Slime Scholar,GARBLE v2.5,Ben’s Black Eye (1/1),https://lh5.googleusercontent.com/JPINLV_J4nXB20Ycc4VLnJW-BPMRSVkhVijAgUwARegkT9L3ATuET_c1MoKlSyKIO9IIHQmNfH-OxlcciDq5PBrIArY6t053yrNmiaY-tb2KOZ7yJo-F3bUOSXRUQkwtGDx-_sqh_98
85c42c73,Slime Scholar,GARBLE v2.5,Butterfly Effect (1/1),https://lh6.googleusercontent.com/UIjbOwZsBcExPu8dYcUlig2lwbSiwsp_mqWig6LI3YazewLjrop02L6zGtTxwm4wOlVeOcBNTLqS-Omtm6nmUFd5UgwPvSA5LI0VoXmKm98Fu1btnKYcQX9oFRBdBs1Nv--n4pubb5o
87773fd3,Slime Scholar,GARBLE v2.5,Black Diamond Holo (8/8),https://lh6.googleusercontent.com/_SDo7QhAXUfM9GPAZmQChx5-KI-yJ92UwowcRcc-Z6c8KOVcwey0NrbAAY4arLYhp8VdpwvvZo4A576gVQScqA45qWu18Hdkk6GKx9jONJ4AmpyORYskarDWXnIeBNIqw0HZJXIvPbU
