id,artist,sculpt,name,img
59dd29b3,SodieCaps,Bottle nCap,Original Grape,https://lh3.googleusercontent.com/6mU6QwrY-TnJs2lg1PX_KOWcOU9tVIzb0CSOL9YY9kWKNk5i06NhYiWkyldAMWCjJEEZ6vW66xxbQlaZsGBISFVtz5sdu5gRHOfHhkLueURBCFOoCcg8AwchUSEXS4EwKQ=s0
403c12ae,SodieCaps,Bottle nCap,4th O' July,https://lh5.googleusercontent.com/Z0FSM9uQuxVPwQ_SjNoMqp9w8kojqcZ-WPxISaMAdIhDywtt9GbUV36qPJAK7dksWq1yvO6fnEqdHOvQ_vXpBC0IH96sC76knwRrIlLZxQ8tzFRtDbIzaGkWXo2CMTMaog=s0
308a70ef,SodieCaps,Karasu,Noonwraith,https://lh6.googleusercontent.com/eccHThcWEC6NIWt2Eyd4Ciln65rL58pLxq6osoqaWtAUiyN3Xvq29cFXgcXERuz-xPqp9jOkydl0bm2gLA24WsXMNgmFAF6mz4vvTLOES7EkmY3CbvuHiim9amPEPsCSAw=s0
cd778118,SodieCaps,Karasu,4th O' July,https://lh3.googleusercontent.com/JRafaJq_mbswHKL9GW16nDvv_Kq6dGn6oxVworaZmml07ULXbkYOiKxkWrtPdWbzeId1OVt-FXCi7W953ZUFl_Ml_4GI13rcBb5ACB-oL5fq3dNgXbHX3sgfYA7bRZ92sA=s0
32cf9370,SodieCaps,Karasu,?,https://lh3.googleusercontent.com/AbaDAJm4y_jiqbjFsBTRXIx5Vj_JMZdcmnKYHNn1FN3-jJm6uXMnXyx0xAn5YmZ71Ipr2LCh5c4wwTQq0CgZCYxEzaWhgHNi6dh5YXUa2fQ5bXKZ3nFzDsaWy0ImqtVQ7Q=s0
283348a0,SodieCaps,Elok,HyperSoup,https://lh3.googleusercontent.com/z_FcuL0Ofc40inDrREK9DMEymuZX07-_1ylNv8N89ddJ8kYp6E6bssKPj_MXUHUYzdcteG7e8wNI4PuyOO17c6cWKsWuqMod5oJ1m5VcbOM6jsK0dJ58ujD10P4hT3mi5Q=s0
7aacadc1,SodieCaps,Elok,Radical Summer,https://lh5.googleusercontent.com/-aZU7J-mq1jv--aXzJboN6eg_EKREDJnFeAuhSjIMUnMBg6t5IHgdLBRmrCO65KaAWwm3kGXpCRk_i9KVKiDbDMSlMlJxJ2Axrs7sbqz5fUkDL0wBiEH2o0WhyRRBwQ64A=s0
30e27784,SodieCaps,Elok,Lemonade,https://lh3.googleusercontent.com/UbXruulO81Hpm_qV8H6HgJ3tNq8gq3q_NWT3p-z9Z9Bu6w2aL1C0ejQcj3cJRRrCn0WQMKJBApEVqzhhPE5ni0cKMk0qGMztvCRjxRvvYS6TvJ2RoKiMe5mPpiZGqt-JWw=s0
1ca09f36,SodieCaps,Elok,"The BAD side of the moon(black resin, silver glitters)",https://lh6.googleusercontent.com/WpBuElyhhrSN3q6HEAwLskGfOh6XyTl5X2Hb2ZkfOdTX0vwK48binW_4O_mmUloBZ06d0wxTgYI26jpI44aV0Z9n3sFKtCHVzg4KCYkAQb85jDjKhYrC5FFyYTfD-AT0sg=s0
52950ef7,SodieCaps,Elok,"Fallen Raven(black resin, purple glitters)(1/1 Giveaway)",https://lh4.googleusercontent.com/T7k4U3ALe5-UllvMixsmuD2hEH_EjUuGATOVl0eIKnWlf23Vz2OAm8kPJpvquyGHgKLF-ZsZEZfR4-sFQqv7r4Q0b-DWu46BfasMukWxbSt1LDTVLwTTxiY-M-ezPr8Vaw=s0
41ab2321,SodieCaps,Elok,Lost in Spacc (Black and purple resin marbled with glitters),https://lh3.googleusercontent.com/Ag64X8an8GsKs2YXLlZBjzXTWQCFAOvHgEyz7QX53XTsjrYIhAbolXXk8DONKY7ETFYozZz-13hhm-SsP_aNrHBPHJq6PiqLGMC9oafQzONz8-1fKmus9AXf_j06dtFFXQ=s0
27f23601,SodieCaps,Elok,Pink Lemonade,https://lh3.googleusercontent.com/lDa7IYbOxE1c3l6wg9viYIyXMZVRdFheDjjkn7HXfM5Bhea-V4pMFzkwKqCi45287TKaz6Y-zSLUHLOR-NNquVLXunEmeOi_3xxudho0numcZeU2tkQPxlumxOShprbkRw=s0
f38fc86a,SodieCaps,Elok,Sidewalk Chalk,https://lh6.googleusercontent.com/vjRqACCD4uWSwL_SNfYPAdm13KK8AQ4XLL8EDIA-9NqM8zU3dfg7k9MP4f4OjX4tyvGwuM9BrNFHi2p7Z-VLA9UQrTk6tm0FK-H1oHJuF26SZ57feUKcBC7_QeE9Zf7ueQ=s0
94499b27,SodieCaps,Elok,Slimed Pitaya,https://lh6.googleusercontent.com/SNwH894wYKHQXdEuctZUFuxSvNr5xK6pbxvjr4Kkxa6ziBGxa_Aw4zr8r-gQXsruCjct5bbLruXOwdZQssrYcmNzBSsXVf2kGfGv-3m4bFyJi3WAiwKmDIXD-ucKs7eskw=s0
3dbcc6fa,SodieCaps,Elok,Chalked Wisteria,https://lh5.googleusercontent.com/WGDCbYUOwVdpbrXwipLetJ9G_sy7B9fD-Gy3I7Wc1a-OEIgmS5XRVJh-VmMGOCVbqSiowiTfkQ0d8zKKngy0p2Y9zCTBywPCpN0oAx9ilit5dYevrlatIQW2bB25fa2QXg=s0
9dfe93d9,SodieCaps,Elok,Larceny,https://lh5.googleusercontent.com/Z0RMqHOW3YeZPKxfvd1MgrQo3-k8WVwYPaWPqDkfkX8tf0hupc_dbgdQH-EJzXWHpr3Va3X6z3AH6DytAnZ7exFvHICxkLLKGEJ9llUxqlieDjj_QQrsMVNKWVT9mNaQGQ=s0
3d6532fd,SodieCaps,Elok,Mischief Night,https://lh3.googleusercontent.com/Q4DPuKHKfUkXAoq-h8MqE4om_HfmqWFp8oC6VmqbA2wPCI9luoC6ubgKiGNofePypD6YKdgYcwXxyf2bieabEWEVJBLED0kudgZ60g8UvGao71gLcM7qF0SS1yk0D1RJrg=s0
1d0c156d,SodieCaps,Elok,Candy Corn,https://lh3.googleusercontent.com/aBB7Y0gjxZ2ZocwaU9KIaSuPF915MQBbkGjY19Jf9nPQXRQUxszuCkNQuj6kWAS2qHKdhN5GOsySjo32SJPiSD0BxRqFdmDwBKu43VAvN3YhFKtbQFgxQzcpDAcPSVQPpA=s0
8c57edf2,SodieCaps,Elok,Pennywise,https://lh4.googleusercontent.com/5Kys1hcOnZHmY4xDOIyk1jW0tDXX3GpuwJhUkkz9nKW7HpQJHFevr5w_bHBzVVpgxuGldpRzM1QPcaNn-c9KSC5um_8DtnIFD0sEr3PMpORxUMwC32Zy-kWiSdD3DoThZA=s0
991af869,SodieCaps,Elok,Witch's Brew,https://lh5.googleusercontent.com/6egQpIoHT8JoK_L62G2zO5G_EGVGlxzE5qoBu_3PdO9eOQa9z191uYwyfkLuWiNfxR4CpKicHJINmjcw1H4hTQ9Qimw2e7O5LCTAyGgOow4NE-oDGeNO5x-BKV6YRmXyGg=s0
f8e758a2,SodieCaps,Elok,Red Riot,https://lh4.googleusercontent.com/yHW-2uxPyWLMjYiI48syRUPLYgt89k6DufFjaIujAN62_3g-I3BTiWsXKURatDWbW4W8dUwS5hAeE84PnkiS-lqzLcTYGpYCJ4-eW_1WKYPQAiG3QxFyr3jjUCEpSBGLkA=s0
58b886b8,SodieCaps,Elok,Akoya Pearl,https://lh6.googleusercontent.com/did38driTp6YTNl8_6lAg6dWaBqTZeD2YKB8xhqf6rjeMoY_vRR2MQ-GetxSCpD3ASvo1Jsosdha_K-pqzrpfRinDj-XDA_sLZGAZbL_aLEWr_0gluqy0FrPCW_P2K_Wew=s0
1f8a8166,SodieCaps,Elok,Old Coin,https://lh3.googleusercontent.com/KxGAvoiTtxKghAQYwAvAvwYBvzyguX5cC-ypgB1zBCivKB5CcUNHDRJA1nOl_InPTE_BG15jEeywQM1dRg4Jo51hOevS9fvFmUA4SGnt460yQcfepBA2gfWACbOFs3ucsA=s0
3eb9e8cd,SodieCaps,Elok,Deep Water,https://lh4.googleusercontent.com/j-JAq4qHcXcNyzl-AsWVT9irYv5bSB88UQgrfrXV2u3HfP0FUvzw1ejHN9B05HP0vvptStpltuL5hOfjUenG-TLCKiFSUObd8-zg5h5iG1VQ_ZHI_n2KoinHsp0NGTZ_dg=s0
2b9db9f3,SodieCaps,Elok,Eternal (variant 1),https://lh6.googleusercontent.com/L1AEezGMuTppWwNAr5DteOF2_hE1oSE6-_rZpCU-doOJF4W9_q6aBktxo0OsZ6PehsFi6cFrQWn9IN2k35tFuwM6EB_kSfKiXgsBRSMg4LjTUbFYty8Hc1yZqwPlyussUw=s0
8971c4bf,SodieCaps,Elok,Eternal (variant 2),https://lh3.googleusercontent.com/6EqGkrbZfu8t55hkJFgnIpYkYG4Pt8iK90xkG1502pBQ7GUrWn9iXv_HfHTOSbHLppian1bZdIM2-ESe5_PhRgynqDsyXaKQ6kvAgZ91AnKgfDrVZavCFSqZgtAvt85mvQ=s0
c58bb26d,SodieCaps,Elok,Christmas Time,https://lh3.googleusercontent.com/2UduG29KIMXwkQIsA0wHVmBrhKj8tCeyOF-uWCjKHiHhkPlboXxH7tbInOzSbXpCCXW1Lg1nfkoylj7byHDL-jPms3yQgQJ0P29VavckC5Kf-LHgqV8oMYpuaywamHP44w=s0
8fdd22f4,SodieCaps,Elok,Cloud (6)9,https://lh3.googleusercontent.com/awAxfeph7JYSh88JD6uuNLDSsQY9ivK11mTnjOTki7KMTb-nbjfZkstxc1dPa06RqjXM3pnEWxJu5foCzAnV5Nw5xyqCX7IAb61aogjSlcvL9BMIJLWHKkV9AbHZs7P9mQ=s0
6d11062c,SodieCaps,Elok,Cloudy Mood,https://lh3.googleusercontent.com/HHf_SFgUQ_ay0XUe-lV52UrAjBjAwhn6YeKroOt--yyKYenqQu2AB17_K5e4oOY7zG3ed5P5z0g5X2Q7futDzxs1eCp8qpy9Dvjw_AbFYW4xPCnrrA7MfHxaWIZiQl63Lg=s0
31fc4a69,SodieCaps,Elok,Omen,https://lh5.googleusercontent.com/2NQgOBtHCcas6my8umtKdanDfwnKg1zoduo56J5acSqbcBzi1j5uY-2mgD3dcXK5UYxEX99QdrZcBZVa_DOXxF3vyKfYJpPX4h7A7Rxi9f2On8NNti1NZVfYZdcl0luw5Q=s0
b063c267,SodieCaps,Elok,Grey Stone Rose,https://lh6.googleusercontent.com/phOKy27JCDoC8nt1lML5c1XisdUQYe3-NWRJKSP5a5IF3yrsAkgWlXVmG_QZJkPs38wVNn_hg62RRqS2tKcPttzijzSwCqQW8_AkwKMiWaD2xIm9H1kOPC5z9-bVf3yXtg=s0
14647930,SodieCaps,Elok,[GMK Copper],https://lh5.googleusercontent.com/3Wd22sx967jyf3Vt3A7oFm59JOkDVzfna2rCpeTz2NvK8ZVWGq9emqo2s4oYy7cWlN9sSMTLxtsCZq9jUnE5DQaH2xT1rbBJEoe-CzNN3T2Y1C2JFfqQmiTm9MYXkShYAw=s0
7e323227,SodieCaps,Elok,Black Mage,https://lh3.googleusercontent.com/73edr2P5W1pWNL1bs5z0u3fP9Mif9y655AHOhCBt5b2GJgSnTF2eW9yAKelHJ44NVSusFHgPF4oNHXblAW3dhbBSkDk2zcKm74Z1ieHGnzxFQb1yIB9B6MyQUiIEnMDXCA=s0
1be89233,SodieCaps,Elok,[GMK Terra],https://lh5.googleusercontent.com/7PWq3ZFSrDt4Zkv_ntByb3H6rKLUWfP3xYLpRQ4TMpettG5kAJNFd69y39XF2BrxMH85iN-TNu8lHZss7DxuDLv1Cw94xHfdmz9PjeTAvNqacfImA7t3RuEhAnJHVKxrIA=s0
80f200f0,SodieCaps,Elok,Clear,https://lh4.googleusercontent.com/TpXJg-NfZydKSPLi2YnxnWfPIlwxy6Lda9ZCYIkpi4C3XK-6WYcAHomT83TOnF61qMe6E13tXcg8Cc-JIKRjfs-1K2DGWa9drgJW5XnPIcsLYYnwqdWWhK5L7EkKemOSKw=s0
