id,artist,sculpt,name,img
3eb1734c,Stupid Fruit,Grimace v1,Ate Like 40 Starbursts™,https://cdn.keycap-archivist.com/keycaps/3eb1734c.jpg
d6b03a69,Stupid Fruit,Grimace v1,Master,https://cdn.keycap-archivist.com/keycaps/d6b03a69.jpg
8c7f6849,Stupid Fruit,Grimace v1,Let Me Mustache You A Question,https://cdn.keycap-archivist.com/keycaps/8c7f6849.jpg
d54b312a,Stupid Fruit,Grimace v1,Twinkledumb,https://cdn.keycap-archivist.com/keycaps/d54b312a.jpg
dab2e2c6,Stupid Fruit,Grimace v1,Greyface,https://cdn.keycap-archivist.com/keycaps/dab2e2c6.jpg
b314decb,Stupid Fruit,Grimace v1,That’s A Lot of DMG,https://cdn.keycap-archivist.com/keycaps/b314decb.jpg
10ba06f0,Stupid Fruit,Stupid Tree v1,Sloppery Coppery,https://cdn.keycap-archivist.com/keycaps/10ba06f0.jpg
cb513c04,Stupid Fruit,Stupid Tree v1,Free The Log,https://cdn.keycap-archivist.com/keycaps/cb513c04.jpg
99ed7e28,Stupid Fruit,Stupid Tree v1,Master,https://cdn.keycap-archivist.com/keycaps/99ed7e28.jpg
bfdc23ab,Stupid Fruit,Stupid Tree v1,Only Here For Ice Cream,https://cdn.keycap-archivist.com/keycaps/bfdc23ab.jpg
38db675d,Stupid Fruit,Stupid Tree v1,A Dump Cake of Sherbet,https://cdn.keycap-archivist.com/keycaps/38db675d.jpg
44eeaf9e,Stupid Fruit,Stupid Tree v1,That’s A Lot Of DMG,https://cdn.keycap-archivist.com/keycaps/44eeaf9e.jpg
841a9645,Stupid Fruit,Stupid Tree v1,My Favorite Thing Is Pixie Dust,https://cdn.keycap-archivist.com/keycaps/841a9645.jpg
c66ee451,Stupid Fruit,Stupid Tree v1,Greeny Peekers (cold cast copper),https://cdn.keycap-archivist.com/keycaps/c66ee451.jpg
19ee2f29,Stupid Fruit,Stupid Tree v1,Big Honkin’ Steel Baby,https://cdn.keycap-archivist.com/keycaps/19ee2f29.jpg
9d1e5c5b,Stupid Fruit,Stupid Tree v1,Filthy Brass Monkey,https://cdn.keycap-archivist.com/keycaps/9d1e5c5b.jpg
4e1fbfd1,Stupid Fruit,Stupid Tree v1,Filthy Bronze Monkey,https://cdn.keycap-archivist.com/keycaps/4e1fbfd1.jpg
eb50b9bb,Stupid Fruit,Stupid Tree v1,Rustiest of Trombones (Dark Green),https://cdn.keycap-archivist.com/keycaps/eb50b9bb.jpg
972524e1,Stupid Fruit,Stupid Tree v1,Rustiest of Trombones (Light Green),https://cdn.keycap-archivist.com/keycaps/972524e1.jpg
34aee389,Stupid Fruit,Stupid Tree v1,Big Honkin’ Alu Baby,https://cdn.keycap-archivist.com/keycaps/34aee389.jpg
d631e22f,Stupid Fruit,Stupid Tree v1,SAB,https://cdn.keycap-archivist.com/keycaps/d631e22f.jpg
4a80b1fc,Stupid Fruit,Grimace v2,Master,https://cdn.keycap-archivist.com/keycaps/4a80b1fc.jpg
1fa0c376,Stupid Fruit,Grimace v2,Stupid or Sour,https://cdn.keycap-archivist.com/keycaps/1fa0c376.jpg
107bb854,Stupid Fruit,Grimace v2,Part Man Part Shiny Aluminum,https://cdn.keycap-archivist.com/keycaps/107bb854.jpg
af7cf39,Stupid Fruit,Grimace v2,53 m/s,https://cdn.keycap-archivist.com/keycaps/af7cf39.jpg
f3a420,Stupid Fruit,Grimace v2,Subtlety,https://cdn.keycap-archivist.com/keycaps/f3a420.jpg
b5e7339d,Stupid Fruit,Grimace v2,Ukraine Flag,https://cdn.keycap-archivist.com/keycaps/b5e7339d.jpg
a72181fe,Stupid Fruit,Stupid Tree v2,Proto,https://cdn.keycap-archivist.com/keycaps/a72181fe.jpg
ebd39491,Stupid Fruit,Stupid Tree v2,Master,https://cdn.keycap-archivist.com/keycaps/ebd39491.jpg
72dac52b,Stupid Fruit,Stupid Tree v2,Master,https://cdn.keycap-archivist.com/keycaps/72dac52b.jpg
e891a15a,Stupid Fruit,Stupid Tree v2,Bad Art Series: Some Panels,https://cdn.keycap-archivist.com/keycaps/e891a15a.jpg
42c74f61,Stupid Fruit,Stupid Tree v2,53 m/s,https://cdn.keycap-archivist.com/keycaps/42c74f61.jpg
e2870b8b,Stupid Fruit,Stupid Tree v2,Red-ily Infuriated,https://cdn.keycap-archivist.com/keycaps/e2870b8b.jpg
b16de6e2,Stupid Fruit,Stupid Tree v2,Convolution,https://cdn.keycap-archivist.com/keycaps/b16de6e2.jpg
791368ca,Stupid Fruit,Stupid Tree v2,Dream Time,https://cdn.keycap-archivist.com/keycaps/791368ca.jpg
