id,artist,sculpt,name,img
429b5f62,Sway Caps,Miz,OG,https://lh4.googleusercontent.com/Qys-GpN5okWdJZtp10P1MVSq7ZTnls9hwNQIFzOdLjSh7-0vkrqHc_yZ1A5BW0ZwNPazu630EAlwi8rat1NSZU3bSAGaDHul3whtIYy-io3_OPDKkWe_aM8V6bMQGzBAnh2ApZu_HSo
1a0c6a6e,Sway Caps,Miz,Pastel Love Galore,https://lh5.googleusercontent.com/5QXgb-Zs9DMmDl0YKYUHkBE7bnNzR2DTmA3btNXVYihMfXtkK7VQxTFp7fNmUa90oG36xouqDzYxvBHPB01WSfURFsb0_EcgG1TkjgwCIc-iQWwIOpQ33Zg851dt_wPJd1Why2kUZ9s
671b82b3,Sway Caps,Miz,Pastel Love Galore,https://lh5.googleusercontent.com/Iv48opwp8L2uObFBnsbV8-DnvM12Dt363y-AUypSbj2APKAPnud2c1QUmdbvlU1Y_uEL2U3PBixRdKG_eOaLJ0oObUdDDSRrZR9oqvqGv-Kerai1aikhKkKShJc_ib2ytLAarxvLXws
9a44f55a,Sway Caps,Miz,Pastel Love Galore,https://lh5.googleusercontent.com/XWTiQTwup2DCgfw8WMos85P0u75ZPbYuOcxz5Y8vdi7TjWSdQcVsSapb10O8PwvMtZujNB6PldduzGH4dHjvwMlQ2H85iV_PSUHjaQ2xDKgHXGVLYa8WpFafxRu1RZSZxXOY0inh8fM
20d79252,Sway Caps,Miz,MIZ-01,https://lh3.googleusercontent.com/b5FVFHBUG1FrbZTQJWVpYSzHMOzD6BOm-fxfwYFif3RTSOm1QWamO-QSyvIigaoL9Tk97tapiTgLbcu_ZLV6CQh8EXcsIzboMIRqc0rWyzhkDvYjWd6iK6zrOTSYj5afiSTyAhqzA_4
2dbf8ce4,Sway Caps,Miz,Lover Boi,https://lh6.googleusercontent.com/fJQl4rG-ruaXcgGsZJ2g32xRM1JrAanYzG72DvYESzi9c0s2F8WQdf-ovfkWJvZ8PXaKwmpWDSmYDBM4nKbWfx2Jnpdnt4-Vy9U_YalpxRbhuFIdkzNFZwghBZXJzHGVBQRKHr-hcRs
f3517c45,Sway Caps,Miz,Rhesus Hoax,https://lh6.googleusercontent.com/vecDyMG4JWyEWrUVCPpWF2Kwjrf6tJlDkf4r9s7-eg_QeMO2Xj4Pgx_wRb-QQq011No_KBgS_53MpIGCbtmGzZQ92BkWEzcBFPCbVbJ-DpCFIrt4wYaYTvkfd4tGSDb4XNf2QIvC_ns
e53d5e7e,Sway Caps,Miz,EDG the Momkey,https://lh6.googleusercontent.com/wZndUGDkMVTkb6MCOR1NKOUcwjKGMzTJ802z6NmwMIoS8yHai9TKSnLOiyqdHOA9EyLoCVHoa4ITVYEfoHaEwFc7LLz_WQjTlBazdA1viBcijWvSndxvmXeT2RX2IKx6CP-635HMHPA
2924b3e4,Sway Caps,Miz,Albert II,https://lh6.googleusercontent.com/_QswG3yQbltKGvn0QQIVCSCKnHBGXzdp6cbtfcT94WTIAUtWwkmrt4lSEm9yuP6t5qRVdMPCzIGtRGjHDXdmt6t0CLUIpdlFioLmiXbPu4ByDAeMQM0bC7lj46BUx2VH7bGjtGtezyQ
7db740fe,Sway Caps,Miz,Bonzi,https://lh3.googleusercontent.com/SJ7HCFSrgxMFeJPbvpyPz9dga-XJWLG9-yeNI51Cac_WEpkPVT02IcBDc-Z1BishYc9A3ivy5lYEzbXRr-rTg4YN7XX5EdNWQD3Buc6X04pzxMVlSVpAd4DUyMvZrZNqJZDg_SREAlI
156caf0c,Sway Caps,Miz,No Face,https://lh3.googleusercontent.com/z8uzLwjy7NHnfj86Dwr_68rYXsSsBw3vvwo8pHVBl7o2g45bmXq9REQwHMHl1ICDEh1ylkNFVjicqghoZIj4IwCNKRPpMUR7lL3xa5T-egx9RsL66qdI8Anb9zK7-j1lBIrj9zzTJwk
