id,artist,sculpt,name,img
568f3c50,Symbio Keys,Fenrir,Ocean,https://cdn.keycap-archivist.com/keycaps/568f3c50.jpg
26efaf5a,Symbio Keys,Fenrir,Jvara,https://cdn.keycap-archivist.com/keycaps/26efaf5a.jpg
619b35d7,Symbio Keys,Fenrir,Obligate,https://cdn.keycap-archivist.com/keycaps/619b35d7.jpg
5dbc56e4,Symbio Keys,Fenrir,Fontanka,https://cdn.keycap-archivist.com/keycaps/5dbc56e4.jpg
d894278d,Symbio Keys,Fenrir,Lycan,https://cdn.keycap-archivist.com/keycaps/d894278d.jpg
69d4c907,Symbio Keys,Fenrir,Vi,https://cdn.keycap-archivist.com/keycaps/69d4c907.jpg
a1bf0e4f,Symbio Keys,Fenrir,Tannenbaum,https://cdn.keycap-archivist.com/keycaps/a1bf0e4f.jpg
95da76a0,Symbio Keys,Fenrir,Bad Santa,https://cdn.keycap-archivist.com/keycaps/95da76a0.jpg
a7e6b396,Symbio Keys,Fenrir,Olayf,https://cdn.keycap-archivist.com/keycaps/a7e6b396.jpg
780c45ff,Symbio Keys,Fenrir,Iris,https://cdn.keycap-archivist.com/keycaps/780c45ff.jpg
615c81e5,Symbio Keys,Fenrir,Bleu,https://cdn.keycap-archivist.com/keycaps/615c81e5.jpg
eabef715,Symbio Keys,Fenrir V2,Cypher,https://cdn.keycap-archivist.com/keycaps/eabef715.jpg
38073ec9,Symbio Keys,Fenrir V2,Pompilius,https://cdn.keycap-archivist.com/keycaps/38073ec9.jpg
8823ad7d,Symbio Keys,Fenrir V2,Lazurite Regular,https://cdn.keycap-archivist.com/keycaps/8823ad7d.jpg
a754b3f,Symbio Keys,Fenrir V2,Lazurite One Off,https://cdn.keycap-archivist.com/keycaps/a754b3f.jpg
db7afb1a,Symbio Keys,Fenrir V2,Beigeplz,https://cdn.keycap-archivist.com/keycaps/db7afb1a.jpg
7a1ba062,Symbio Keys,Fenrir V2,Faceless,https://cdn.keycap-archivist.com/keycaps/7a1ba062.jpg
b44883c0,Symbio Keys,Fenrir V2,IMKG 2022 Edition,https://cdn.keycap-archivist.com/keycaps/b44883c0.jpg
8417ffe0,Symbio Keys,Fenrir V2,Botanicool,https://cdn.keycap-archivist.com/keycaps/8417ffe0.jpg
26ddb86c,Symbio Keys,Fenrir V2,Mad Titan,https://cdn.keycap-archivist.com/keycaps/26ddb86c.jpg
91dda43d,Symbio Keys,Fenrir V2,Nightwolf,https://cdn.keycap-archivist.com/keycaps/91dda43d.jpg
ca7bbf4e,Symbio Keys,Fenrir V2,Momo,https://cdn.keycap-archivist.com/keycaps/ca7bbf4e.jpg
6785b03f,Symbio Keys,Fenrir V2,Gateaux,https://cdn.keycap-archivist.com/keycaps/6785b03f.jpg
5102af07,Symbio Keys,Fenrir V2,Lunar,https://cdn.keycap-archivist.com/keycaps/5102af07.jpg
d446c8da,Symbio Keys,Fenrir V2,Saint,https://cdn.keycap-archivist.com/keycaps/d446c8da.jpg
319a99d,Symbio Keys,Fenrir V2,Proto,https://cdn.keycap-archivist.com/keycaps/319a99d.jpg
c850e5d7,Symbio Keys,Fenrir V2,Blushido,https://cdn.keycap-archivist.com/keycaps/c850e5d7.jpg
a5da2c14,Symbio Keys,Fenrir V2,Tumapels Fen Arok,https://cdn.keycap-archivist.com/keycaps/a5da2c14.jpg
