id,artist,sculpt,name,img
cc238abd,T-Art Universe,Bull,Taro,https://cdn.keycap-archivist.com/keycaps/cc238abd.jpg
964d9e2b,T-Art Universe,Bull,Raging,https://cdn.keycap-archivist.com/keycaps/964d9e2b.jpg
288a2545,T-Art Universe,Bull,Akatsuki,https://cdn.keycap-archivist.com/keycaps/288a2545.jpg
61624761,T-Art Universe,Huskey,Vietnamese,https://cdn.keycap-archivist.com/keycaps/61624761.jpg
f8e4e4a0,T-Art Universe,Huskey,"OG ""Ngaos""",https://cdn.keycap-archivist.com/keycaps/f8e4e4a0.jpg
6a07f478,T-Art Universe,Huskey,Vanguard,https://cdn.keycap-archivist.com/keycaps/6a07f478.jpg
a6eb1c0b,T-Art Universe,Huskey,"OG ""Hello""",https://cdn.keycap-archivist.com/keycaps/a6eb1c0b.jpg
3680814,T-Art Universe,Huskey,Venom,https://cdn.keycap-archivist.com/keycaps/3680814.jpg
9012502f,T-Art Universe,Huskey,Taro,https://cdn.keycap-archivist.com/keycaps/9012502f.jpg
4cd4648d,T-Art Universe,Huskey,Kaos,https://cdn.keycap-archivist.com/keycaps/4cd4648d.jpg
ce4a6bd1,T-Art Universe,Huskey,Hyperfuse,https://cdn.keycap-archivist.com/keycaps/ce4a6bd1.jpg
c9dde457,T-Art Universe,Huskey,Six Paths,https://cdn.keycap-archivist.com/keycaps/c9dde457.jpg
446ff019,T-Art Universe,Huskey,Akatsuki,https://cdn.keycap-archivist.com/keycaps/446ff019.jpg
fa0a56da,T-Art Universe,Huskey,Genjutsu,https://cdn.keycap-archivist.com/keycaps/fa0a56da.jpg
3370ac94,T-Art Universe,Huskey,Tobi,https://cdn.keycap-archivist.com/keycaps/3370ac94.jpg
b8905edd,T-Art Universe,Huskey,NewYearSpirit,https://cdn.keycap-archivist.com/keycaps/b8905edd.jpg
a7bfa1a1,T-Art Universe,Huskey,LunarNewYear,https://cdn.keycap-archivist.com/keycaps/a7bfa1a1.jpg
37e8be65,T-Art Universe,Huskey,Phúc,https://cdn.keycap-archivist.com/keycaps/37e8be65.jpg
1c6c4329,T-Art Universe,Huskey,Gong Xi Fa Cai,https://cdn.keycap-archivist.com/keycaps/1c6c4329.jpg
f6200c37,T-Art Universe,Huskey,Carbon,https://cdn.keycap-archivist.com/keycaps/f6200c37.jpg
c820e89c,T-Art Universe,Drake,Taro,https://cdn.keycap-archivist.com/keycaps/c820e89c.jpg
5c45d850,T-Art Universe,Drake,Venom,https://cdn.keycap-archivist.com/keycaps/5c45d850.jpg
