id,artist,sculpt,name,img
e5814ce9,Tech. Stoned. Amish.,Tool of the Trade,Monochrome,https://lh3.googleusercontent.com/vvcy_d7UIpgVcBgNYyUk6llREUe_Q_JDrCrhgRCyZwwC-AzhLXtf3gGlEHqy8KDmzCj9KLC9lw8Gm7QdRNOZYTYPQiNghrw_UaJGXi7HZr4TFQMTcNZ_6S7NKwMQsmvE59T_UWJsMu8
2c37edc8,Tech. Stoned. Amish.,Tool of the Trade,Redeye,https://lh3.googleusercontent.com/KsJfrgdIMKNwQHcB4e9xe9X0MF_0xbjZF-jUStXUkv0ThpoFwap8t5HahMoT3bmnUrAPHdUKwzpOKsvi6uzh-rll_oXHCc7Jx5W_HiKFR5AED15zK21-WK3GXo-JRVYAA2Z_6uWz22c
a2452ea9,Tech. Stoned. Amish.,Tool of the Trade,Baby Blues,https://lh3.googleusercontent.com/dF1F-GCQIqC1JthaFda8k1rI1ffEnJGHLNkvnDcXHBZJcbM57gvjLYbTlmnbx2TMXoRL7ylu1_H2CHrZDpseI2S9ElRHeFu0j_3PAOIo0fhoJoFUR-IhqJQbrixnCp9Ty0gyCUG1iow
3efd4d9d,Tech. Stoned. Amish.,Tool of the Trade,Royal Silk,https://lh5.googleusercontent.com/wPLMYpdrONh-TQOnhmaViCE2sufq38UmkkcMcN2DUGRHEgqEyTkkoc0oSdUnC4m07Vfvez11_MXg6Mjj0ZJCdDPVnK-0JK8HwzSDzTRZ8rSUtTyX4vbfsYywLNLNbZ0rEBtpFeSxiIk
c58a1229,Tech. Stoned. Amish.,Tool of the Trade,Pumpkin Spice,https://lh6.googleusercontent.com/VldWYsfwjUUhsF9SVDzxL2GQDai51OGBk8bHY3_osAb4C62X0BR5cyrdKBE0W3Z5gBEjhyPybnHiX5I5HlJt6RdprGy6rs3tITTBiHW3IxZsKKgP-0kDWfbPyjga6Qd1vwI4dly2UKo
904e9583,Tech. Stoned. Amish.,Tool of the Trade,Ghost (GID),https://lh6.googleusercontent.com/cODy5uS3X7BPcNvofJiKU6AzNbr0I2SAefxWJK0pR1GXV6z2sLTxh4FV75EKXYGzkhOXUV4NvITmlqPgeoB_tOu_XYDIHheNaK8pnyXjIHPzSaouH3WEjfsl6LTUvSkeMOjSwZ6w7p4
196e6a2f,Tech. Stoned. Amish.,Tool of the Trade,Jack-o-Lantern,https://lh4.googleusercontent.com/p9UmxsEQ2y8i66GCGIdYQhksvGggvHZujbbFhvPRpPJDL_dcKinIr1Vkob41ttGFQcLcz2vpVdB2M8NV92NkUR1LKUAhhHLzgWg14-ZdlWWnj7S6nhXD-qUg1MyVOs0cIDgzH8Er60k
1a78a70c,Tech. Stoned. Amish.,Tool of the Trade,HyperToke,https://lh5.googleusercontent.com/6rBoet3SQh3REvT3Qv_RyUyB36xW5Xw39PK3gcKnKEFu5_LuMphFTTBzKpKoHSEIKKu-XB2qMH_qBzqqXcyAXPyTfVLwsr3XoxVbOWTZiysfpzFynUudBOghU6tC4cK2ZrVsxgAqIoE
6259b050,Tech. Stoned. Amish.,Tool of the Trade,Metallic Yolk,https://lh3.googleusercontent.com/RZKheiTlUAwE_x6yxW4FAYH265X4uK8JJbFrZg0dhL7KbJTTKNAinHB4REKspMXIutqdth90MCfN2RsG3lWbTu6laTtU7ihroYRZRvM3J7vTs0uDu0PJh3jhGZlzRqcMSTuDjKVFKts
2d278df8,Tech. Stoned. Amish.,Tool of the Trade,Moseido,https://lh5.googleusercontent.com/2-KbJKiz1I67qK-kksln4R3rj_gch8E3QcvmZybVyEpCQwSULefnNaNt7Wa_-AxHYs_jBjEdBqanj7MezKtmSUZ3IfU4wjO3W1u4inN-hHC98lwVfRqJ58JbBfm9B99azwFkcFXpjU4
