id,artist,sculpt,name,img
40c0fd50,trmk,Oak,Cherry Coke,https://lh6.googleusercontent.com/ZpV9hCkhgx9M4p0jJORO3TyFrqQccD_VDi5-66MHbVSr3wN7cZtg_q1SbMErWHFtKychmnMDJpBc2JnnOHUAGoKDOJ4rqZRthDfBjTmyGknZev4s6BxNfxs4yas6itVqZB6tAsnjwGNLKdxXTPCt
a6b37516,trmk,Oak,Kaonashi (No-face),https://lh3.googleusercontent.com/oWVNHCreVTTJ2bRkqRuFFRurTpgvi4xR7aLAHFYzbcxBZxutQUNaj4IVk9iXYhej26qRGIDNUGfQNSuXqWLZvxPc1ElWAOqL3tJrh0qv-7xqmdyI16UJtpwJxYDWaECzwv26XlRMFQ5zZ4wYyNYZ
ef02ac03,trmk,Oak,Sacramento,https://lh3.googleusercontent.com/nAE6DA4nG86Ol1CCLU6e4LZWN4SOJjzVPvJ5FiIG4Wbaip4cSa4xdvmpImOeejInSy0szrlZMTc0PrvOrefunshi7iK9ExW3cng7wIiCFLVZnIw93jbll6q2jSVDz_YMo96H7nMuI94xLuSPVu3y
4b6c2b72,trmk,Oak,Gummy Yellow,https://lh5.googleusercontent.com/EXoaVaJ1zyd3Ax_EClo9axL6RIQhjlNxDXOS7Gvfkdty6slQJnqIImRLB1hjIVPI5huK959kDCWanEVJqE4sxUoHnHDLWgQONgq-nkHpTcpwk5pFhLCdmEcE6B9TJ4VWx3pLRN2sZXzwrYVAaICy
28b4c0e1,trmk,Oak,Gummy Green,https://lh3.googleusercontent.com/C5TgmIWO3UiNSLAZ0jD1-qByU2E9Ok_55OuF12MAvydvQdnX0rEV0pFRc8w1vbF-FrdgsLAZ0cjkU85pKxS4tpyn7UR0aXlCnh0SE_zVR7liTt2Lavt4wFTe7Ix8XeETvJ7-4SSznj5rBov50kX1
229dd459,trmk,Oak,Gummy Blue,https://lh6.googleusercontent.com/Q511hJFx_-e5_51NvVLdFijX_L0s-jWRoR2AdLnVuNcd5HM4QOlKxKDyinR7UVkOv4OQNU-FIhIsGtXBBogxs_-cm5VbOYS1Y0esOPBxKSap06EY_b5GMMjWvLn4Hhwcp6UdlNk_csBjtsCvxWPt
35e0b9c6,trmk,Oak,Gummy purple,https://lh3.googleusercontent.com/UFgak2utF0JDmhFwQDibmGwLZECvjOcMZkG0f9iflOODlA1VwzazfWaIJ1iF-Nz6cJDO5QKUdoAz9F6dU5o6LrqIt7w422TedH1__gHBKH31o68ao-Hr7PV2XsX1IP23LN2d72msjjAF6T2o7W0m
99365f74,trmk,Oak,Gummy Aqua,https://lh5.googleusercontent.com/CB-Tjdf-FZhot1tJqdIR6tqAyITlACm4Cp2FyZ31N-uAFFOAMvGC0898XedEb0LbdKKe7QSv3XiU3uVux3vNvu1MgLsaGYZBpa-Rrh0xD7j6z_B25yq8BATg2E3crrnq09qxfPG-HglJBHNYv7KW
36513178,trmk,Oak,Gummy Raspberry,https://lh6.googleusercontent.com/GcXvHHLqytrX0v3uualtq-YJ0JhrW1keoj9OcQ7AyQO9mbfvThLrQVnRdeoj662zaiR8izSizQPgdxmYU8pfa2zxfqtZkoRYVZ8pskwhEGnNyk6NPQihaJpO29UTHfkykvKMwerd3zw7769zro4W
1573265f,trmk,Oak,Gummy Cola,https://lh4.googleusercontent.com/nwTwDZg99FSuCa04H0exdP_D1YW5WZx4wy-hTJc6GOXwb005iP4fTAGz5AC16-zvqqUdBIsCj09XA6vHw1i-1tdHTe6azvWAimmX5fazj0PGxvBjAa-NStQl2yBAllRydxpjuhITQ8lcdOVw2xgy
