id,artist,sculpt,name,img
109fef64,TXD,Scaredcrow,Blueberry Milk,https://cdn.keycap-archivist.com/keycaps/109fef64.jpg
9824d85,TXD,Scaredcrow,Hunter,https://cdn.keycap-archivist.com/keycaps/9824d85.jpg
fc796ffd,TXD,Scaredcrow,Sunrise,https://cdn.keycap-archivist.com/keycaps/fc796ffd.jpg
69cd48ed,TXD,Scaredcrow,Laser,https://cdn.keycap-archivist.com/keycaps/69cd48ed.jpg
9319a77c,TXD,Scaredcrow,720nm,https://cdn.keycap-archivist.com/keycaps/9319a77c.jpg
63524c39,TXD,Scaredcrow,770nm,https://cdn.keycap-archivist.com/keycaps/63524c39.jpg
d8fe267b,TXD,Scaredcrow,620nm,https://cdn.keycap-archivist.com/keycaps/d8fe267b.jpg
c56a2faf,TXD,Scaredcrow,580nm,https://cdn.keycap-archivist.com/keycaps/c56a2faf.jpg
b07e667a,TXD,Scaredcrow,560nm,https://cdn.keycap-archivist.com/keycaps/b07e667a.jpg
8f8e1794,TXD,Scaredcrow,530nm,https://cdn.keycap-archivist.com/keycaps/8f8e1794.jpg
5b2c4655,TXD,Scaredcrow,495nm,https://cdn.keycap-archivist.com/keycaps/5b2c4655.jpg
935eef69,TXD,Scaredcrow,455nm,https://cdn.keycap-archivist.com/keycaps/935eef69.jpg
aec6cafc,TXD,Scaredcrow,440nm,https://cdn.keycap-archivist.com/keycaps/aec6cafc.jpg
bfb5a6c1,TXD,Scaredcrow,405nm,https://cdn.keycap-archivist.com/keycaps/bfb5a6c1.jpg
3d57e079,TXD,Scaredcrow,420nm,https://cdn.keycap-archivist.com/keycaps/3d57e079.jpg
527ee4ef,TXD,Scaredcrow,Prism,https://cdn.keycap-archivist.com/keycaps/527ee4ef.jpg
d664251f,TXD,Care Bare,Laser,https://cdn.keycap-archivist.com/keycaps/d664251f.jpg
af9b61a0,TXD,Care Bare,Electro Mouse,https://cdn.keycap-archivist.com/keycaps/af9b61a0.jpg
1976816d,TXD,Care Bare,No-Face,https://cdn.keycap-archivist.com/keycaps/1976816d.jpg
9655e8fb,TXD,Care Bare,Frigid,https://cdn.keycap-archivist.com/keycaps/9655e8fb.jpg
5e761f37,TXD,Care Bare,Shelby,https://cdn.keycap-archivist.com/keycaps/5e761f37.jpg
9219bb4d,TXD,Care Bare,Testa Rossa,https://cdn.keycap-archivist.com/keycaps/9219bb4d.jpg
8f24a18b,TXD,Care Bare,Wistar,https://cdn.keycap-archivist.com/keycaps/8f24a18b.jpg
cd86dc5c,TXD,Care Bare,Bare Iron,https://cdn.keycap-archivist.com/keycaps/cd86dc5c.jpg
fea8827,TXD,Care Bare,Cepheid,https://cdn.keycap-archivist.com/keycaps/fea8827.jpg
a309f130,TXD,Care Bare,Lacertae,https://cdn.keycap-archivist.com/keycaps/a309f130.jpg
236f7c4f,TXD,Care Bare,Nautilus,https://cdn.keycap-archivist.com/keycaps/236f7c4f.jpg
baee9cfc,TXD,Care Bare,ABV 5.2%,https://cdn.keycap-archivist.com/keycaps/baee9cfc.jpg
4ab971a4,TXD,Care Bare,Watermelon,https://cdn.keycap-archivist.com/keycaps/4ab971a4.jpg
202e15ce,TXD,Care Bare,Golden God,https://cdn.keycap-archivist.com/keycaps/202e15ce.jpg
351b31b6,TXD,Care Bare,HyperFuse,https://cdn.keycap-archivist.com/keycaps/351b31b6.jpg
b8bbd36c,TXD,Care Bare,Dreamer,https://cdn.keycap-archivist.com/keycaps/b8bbd36c.jpg
1a6a7bef,TXD,Care Bare,Haze,https://cdn.keycap-archivist.com/keycaps/1a6a7bef.jpg
8ba4356d,TXD,Care Bare,Midnight Blues,https://cdn.keycap-archivist.com/keycaps/8ba4356d.jpg
de9b604a,TXD,Care Bare,Nightburn,https://cdn.keycap-archivist.com/keycaps/de9b604a.jpg
6c2b6349,TXD,Care Bare,Out of Toner,https://cdn.keycap-archivist.com/keycaps/6c2b6349.jpg
5411422a,TXD,Care Bare,Revenant,https://cdn.keycap-archivist.com/keycaps/5411422a.jpg
a2569c5a,TXD,Care Bare,Red Samurai,https://cdn.keycap-archivist.com/keycaps/a2569c5a.jpg
2c66422,TXD,Care Bare,Brazen,https://cdn.keycap-archivist.com/keycaps/2c66422.jpg
188f7194,TXD,Care Bare,Blue,https://cdn.keycap-archivist.com/keycaps/188f7194.jpg
9a403d78,TXD,Care Bare,Pink,https://cdn.keycap-archivist.com/keycaps/9a403d78.jpg
a3568c8d,TXD,Care Bare,Teal,https://cdn.keycap-archivist.com/keycaps/a3568c8d.jpg
7b8afb41,TXD,Care Bare,Yellow,https://cdn.keycap-archivist.com/keycaps/7b8afb41.jpg
b43c1d78,TXD,Care Bare,Rainbow,https://cdn.keycap-archivist.com/keycaps/b43c1d78.jpg
9a08c1f4,TXD,Care Bare,Carbon,https://cdn.keycap-archivist.com/keycaps/9a08c1f4.jpg
5fa2f6d8,TXD,Care Bare,Hofmann,https://cdn.keycap-archivist.com/keycaps/5fa2f6d8.jpg
4409c33d,TXD,Care Bare,Paranoia,https://cdn.keycap-archivist.com/keycaps/4409c33d.jpg
7828d945,TXD,Care Bare,Prism,https://cdn.keycap-archivist.com/keycaps/7828d945.jpg
db40e202,TXD,Care Bare,Carcinogen,https://cdn.keycap-archivist.com/keycaps/db40e202.jpg
4bebd887,TXD,Care Bare v2,Neon Dreams,https://cdn.keycap-archivist.com/keycaps/4bebd887.jpg
301f3fcc,TXD,Care Bare v2,Windbreaker,https://cdn.keycap-archivist.com/keycaps/301f3fcc.jpg
f6070169,TXD,Care Bare v2,Circulatory,https://cdn.keycap-archivist.com/keycaps/f6070169.jpg
36c2a81c,TXD,Care Bare v2,Sunken Treasure,https://cdn.keycap-archivist.com/keycaps/36c2a81c.jpg
cf3bc2e0,TXD,Care Bare v2,Grapefruit Cloud,https://cdn.keycap-archivist.com/keycaps/cf3bc2e0.jpg
b979cd3c,TXD,Care Bare v2,Valenfine,https://cdn.keycap-archivist.com/keycaps/b979cd3c.jpg
e96c320d,TXD,Care Bare v2,Blue Soul,https://cdn.keycap-archivist.com/keycaps/e96c320d.jpg
dd93a2a,TXD,Care Bare v2,Darlington,https://cdn.keycap-archivist.com/keycaps/dd93a2a.jpg
22e1be61,TXD,Care Bare v2,Holy Milker,https://cdn.keycap-archivist.com/keycaps/22e1be61.jpg
