id,artist,sculpt,name,img
a2bffe0b,WildKeyCaps,RANDAL V1,OG,https://cdn.keycap-archivist.com/keycaps/a2bffe0b.jpg
bb98c5ec,WildKeyCaps,RANDAL V1,BETA,https://cdn.keycap-archivist.com/keycaps/bb98c5ec.jpg
5142237a,WildKeyCaps,RANDAL V1,CARBON,https://cdn.keycap-archivist.com/keycaps/5142237a.jpg
22223d2a,WildKeyCaps,RANDAL V1,DATE,https://cdn.keycap-archivist.com/keycaps/22223d2a.jpg
6f9664d9,WildKeyCaps,RANDAL V1,EVA 01,https://cdn.keycap-archivist.com/keycaps/6f9664d9.jpg
e7bc3bae,WildKeyCaps,RANDAL V1,FUZE,https://cdn.keycap-archivist.com/keycaps/e7bc3bae.jpg
17e43145,WildKeyCaps,RANDAL V1,LIVION,https://cdn.keycap-archivist.com/keycaps/17e43145.jpg
3ef4602c,WildKeyCaps,RANDAL V1,MONONOKE,https://cdn.keycap-archivist.com/keycaps/3ef4602c.jpg
71d853cc,WildKeyCaps,RANDAL V1,NO FACE,https://cdn.keycap-archivist.com/keycaps/71d853cc.jpg
59bc0931,WildKeyCaps,RANDAL V1,SANADA,https://cdn.keycap-archivist.com/keycaps/59bc0931.jpg
f4dc85b8,WildKeyCaps,RANDAL V1,TARO,https://cdn.keycap-archivist.com/keycaps/f4dc85b8.jpg
f7503f75,WildKeyCaps,RANDAL V1,WAVE,https://cdn.keycap-archivist.com/keycaps/f7503f75.jpg
508047c0,WildKeyCaps,RANDAL V2,9009,https://cdn.keycap-archivist.com/keycaps/508047c0.jpg
b75c99fb,WildKeyCaps,RANDAL V2,AKIRA,https://cdn.keycap-archivist.com/keycaps/b75c99fb.jpg
6f057b7b,WildKeyCaps,RANDAL V2,BARYON,https://cdn.keycap-archivist.com/keycaps/6f057b7b.jpg
1b005eac,WildKeyCaps,RANDAL V2,EGYPT,https://cdn.keycap-archivist.com/keycaps/1b005eac.jpg
bde80d,WildKeyCaps,RANDAL V2,FU,https://cdn.keycap-archivist.com/keycaps/bde80d.jpg
d3e07483,WildKeyCaps,RANDAL V2,GALAKTUS,https://cdn.keycap-archivist.com/keycaps/d3e07483.jpg
35e6ec9,WildKeyCaps,RANDAL V2,GATEAUX,https://cdn.keycap-archivist.com/keycaps/35e6ec9.jpg
705a1a38,WildKeyCaps,RANDAL V2,GMK MICTLAN,https://cdn.keycap-archivist.com/keycaps/705a1a38.jpg
b434c051,WildKeyCaps,RANDAL V2,GREENBULL,https://cdn.keycap-archivist.com/keycaps/b434c051.jpg
28ab01f0,WildKeyCaps,RANDAL V2,JOKER,https://cdn.keycap-archivist.com/keycaps/28ab01f0.jpg
