id,artist,sculpt,name,img
31ca0cbb,Wildstory Caps,Wise Kissing Ape,Master,https://lh3.googleusercontent.com/YvgRUc_BxPqHqWKapR6pKWQ9C9da0bbr8l4uw7locKTvo0oUG-OB5HSEHylBbY1d3U-91XJ2TQ-cgizmneBYC6NoG6EE0qD-a5318GIAY39EQKM0PXbiZhwc3p_P4aLK8mQ8dnljdRo
6fcff703,Wildstory Caps,Wise Kissing Ape,Venous Vampire,https://lh6.googleusercontent.com/W1s5-yi9S6kFgpqv7Nv0Znx9lQGKcp6xr-uLuAPuVeB18UgKgd_TAwxgT0udWsp-kD9VjsuAdrW2my9kYZj6WEJRUkmsDnRkEkQiH7iguHAH--E3UrOZLTdGjppI2tO_fiMPlYWhfKA
c4109562,Wildstory Caps,Wise Kissing Ape,Half Vampire 1,https://lh6.googleusercontent.com/PM1kN8LfWe1v8ehC3Qy_0u-5iV4pUlDS0sl04bcFLaVGBz__fV_jVOsN0k0CTKp5Sc8aez_lkPNf8CjcW4D236GIUBj3CPsuH3wmxHD1enAcjLllZ8HWEgLFCKhREzUdG3UbMxREelM
62d43d7,Wildstory Caps,Wise Kissing Ape,Half Vampire 2,https://lh5.googleusercontent.com/2y6ZEgxX8XSinQSHs6nXqYC2IYWNtUFYRVJLfDuOi1VkE8E9OfI3f_Z30aWkGG4VrePDjiuLbe4xrFCU2wGe0PbSXGpZMoIBaa15bLlyD5QIa4o4C41lVj0om4gHYRS_1ezxUmtgBJI
a0ce4850,Wildstory Caps,Wise Kissing Ape,Fiery Monkey,https://lh3.googleusercontent.com/AGNi6zS03bBqvKzAU5dbaZLlT-EOLagkbiEoLGSp2lhdh9GYqPALh1Vqv1p_4nDuAcZuFIr_uS3irWq2_iGzhDJamQHhO38zHuJhr__Ac12uIDuKUQuBnxaIOCjipZD2aUUDCwJHKBs
fb3bad45,Wildstory Caps,Wise Kissing Ape,Bloody Genie,https://lh5.googleusercontent.com/eyKSajP6jXfJW00rbUOcECcdr6J8gcswm8QCz4lRaVRhqtlRxD5LoYXQEogTpq72_vnTzjlDX3jg83p_D492edbdWcuNYzuhkxoUXaNZdlG71logmgLWhKPL3ZelBEGikhe5DqCid18
9e79e542,Wildstory Caps,Wise Kissing Ape,Caveman,https://lh4.googleusercontent.com/oaRZPOX0GH0PFLPdR2VvZJSCg3th4OLzbPWWI-hLizdBsOzOoqrWS_GzoqNYKpdPtdqH1zvL3WRjPIA09Nj2-3eOE9RiGxQ6imsmdWrselm9xUWUGry2TlAZJj9j0Q8sigfBVA3VB0s
1908e75b,Wildstory Caps,Wise Kissing Ape,Nose Stained Caveman,https://lh3.googleusercontent.com/8dMo6S6whc-rPi3C8Z6l8gJmL0dcc4vuSAoRMthTUo23R7BtlQ85xeBUFiNaCLpvquOH_QtzQr6nasx0ncfNuIATR-S1lumKBAqrryt2lUrVJzEtEG0vJDhwTw-h03Gyj1NK4xDEZzY
3f64022d,Wildstory Caps,Wise Kissing Ape,Laser Monkey,https://lh6.googleusercontent.com/Pf-hSVduMO6INPO740-7qIM2QHRWCOpsgzBQxVFHbW_8xiUWvny8lEiwBVuFUO4HLeEGNUpJza-Rp17UwAEQhRpXrGL93EShg52X2zXN9P3GnqyXgT_qg3UIUeQkee0ZtvxksTH7_tg
ab655b09,Wildstory Caps,Wise Kissing Ape,Beatles (Giveaway),https://lh3.googleusercontent.com/FDWi0lMZOvmTnQY_XMmYYh1gjL5yePM7mNj6oSg1Go6oIx7vXuGrnVLA5zvt2d5rdLw4zW-4LYsxe4tc6HPwx3qq9_1YZcSYtdQJaVwoCFD83iUbH47IVLdtZU3qHxYlhs8JDC77WRI
