id,artist,sculpt,name,img
f44a97e6,Win Keys,Goober,Wavey Szn,https://lh5.googleusercontent.com/T0fKGCNd3AObumwu4wTjlxZqBvWeCz6VqRN06BOt2015Lvtzwu83vVsEhC2NodpL7XJZy8ww0Jy3wQkX-XfIkjDfohMByhJ5ImW4WunXQWCGpY1HEVlD0olQP3kTP2JESA=s0
1e48905f,Win Keys,Goober,1930,https://lh5.googleusercontent.com/oW2pikBNOfhKzuZBM_wtTh0haPbU-upl2I_ufoxKAZpIxvmnaLiRrT6M7n6rS1gzO60sJvaYJ4wqPQduQeP3sXhT17bKB_mxvZpVjlDIFEBBc2pD6Yp_F3cAyGDixPWr8w=s0
be01a044,Win Keys,Goober,80085,https://lh4.googleusercontent.com/O3adXonNS8Ks729F1uDG3XI7SmCkwTU6J3ATCPgMcCFGS4gjrWzK3WPE_IXgoZRXL9kIiLgXW3NZcXfrzbAD1eUDIpaprFDEgzz5sWRSERLYFLsLfyiyPrRWuoBU2blEtw=s0
bbec1a87,Win Keys,Goober,Agent 01,https://lh3.googleusercontent.com/vJBeSDA7xO9Pl1lg0B1XTLHWxrqFZyHMh_DjsHSggfr2GyLxxCaSHjMTeUoNIAgP5L96sslEEIcnpxMk3a2ow-0I8COdRRCyhkRL7nfdbogOq6xK8Nv_tvoCvNkMhrfugw=s0
edc67aec,Win Keys,Goober,Beskar,https://lh3.googleusercontent.com/mIsZHk4rsyAVWGceV-fKvWLyhe3UsGWmBK_H7_gvWGWGz-uiwMqK7MdcgnzLqbp6MLdzy_rA1O3mCwFWx1NbH47aprlesrUmBtw51_R1dOEcqK7fQ7Hj_Q8M0xiIIrHXcw=s0
f65aec11,Win Keys,Goober,Bloodhound,https://lh6.googleusercontent.com/M_BujgIdIbnjyZD5c5fJitR-jy_cYjtaDQF8HC33rvb1LB8OGkMUjGXTX_CT2ZCFCP2BLfhN1lIs8LSqIktgDwn9azQaI9CqvBOd_4UG8qdPG3tThz59MOcE-gLxMKZDKw=s0
59b6ad49,Win Keys,Goober,Frostbite,https://lh3.googleusercontent.com/NZxEHzuPqE3qFtuDTYP0FSTPHnJfMFQfOn1FEqlZEFYLZlEqP7GLgNEm5fM0TfudkGXSX9vaJRv0yweGZxtXjgNHRSEM_yj2tzeo2HmI4V1NJIJCb__bmzjATs17w1M3_g=s0
fb188a9f,Win Keys,Goober,Fundamentals Vol 1,https://lh6.googleusercontent.com/mp1tkNatX9A2FGDLAM5pt1-N2J9lDaQzAU_qN4Nms2Dzg-rTUkskh4QMD_YlqjOplavM312cswx6jvoPaBPf6xGcjol3ucVjwMuh9KnustbRlE_XJtrsIMsRQvjhyPb2wQ=s0
4deadd0d,Win Keys,Goober,Fundamentals Vol 2,https://lh5.googleusercontent.com/lDrS8pr75COB80DiS_m_HJOaxlrNBB7DYHTwWN5pO4IjXzh5gO1PnYErER1nw39df6K_yjhHIxq5wFc9-Hoe8ON6icwddj6XVcqaJSw4Z-5FHLv4Z02YLY06jpAAZvCNKA=s0
d2d2371a,Win Keys,Goober,Gateway,https://lh4.googleusercontent.com/bz6YMO1MahO0k7H20SmdtiE65oNBueOpt80vFUppFloVAPRKhtRgZmU9ZOMURL63Iuc7E6Xn6Q3Dtk7kc1jLNyXj2M3ebO25Id-GRL8whfwdDza0WfUB_1xv9ipkfhiLDw=s0
eee960f2,Win Keys,Goober,Monochrome,https://lh3.googleusercontent.com/1WU-lFILhud332_dm_-TuCSq6Sebn-Iah1To9WGF7sk5I1LYI25NCOYRGrV3BgKgdgNS6BC23x6rUbyFyzi65tzcs2wJayt2vhB6RD0ehKRSEdCrap049PmH6g_32-VKdg=s0
80e5e85d,Win Keys,Goober,Nanner Split,https://lh5.googleusercontent.com/zVCVUeGqmlAxMavsphHBe6FefRxciORx2rNoe8v_bTznn2VWzQQRS6ctL6FRPaHe8zU_TBFlz08oIVM_H62GjB4TLAOalmfxAZt_97RqhDiFU-t0tqCMiFEMSF8KcB5yDA=s0
5c96d388,Win Keys,Goober,Peppermint Swirl,https://lh4.googleusercontent.com/uyehM2gquRQR64amb8NLJj3JJyZmI85-pipYuFYAENf9W8srmbYrLE-VaqGhX4MG-zSHZheFvD9182ABTo0HXdddCriAOOw80SI_QjxHnc9PpQTbdM1cVXZBcuYPZSstuQ=s0
647b8583,Win Keys,Goober,Redacted,https://lh3.googleusercontent.com/qUNPIrZkhxDssIQGTAdLMJ15CaLTAd1mD1tBipEZzr1vUf4f2Nia4yxXA7mNMtKej1FYxTamC0ME2sD2Zv1y2tQeXvpRgnQur8oLj8eIEWe6sbqvYA9gSoV8hu-zKOLprQ=s0
7f6d2076,Win Keys,Goober,Rust Bucket,https://lh4.googleusercontent.com/2e4vsRVCI9MM2sYQ7EM3TYH9AvTwY_ObkpJSjVKdQFCzP7Ay_JKjiMlQN223WHkjsTPZ5svqCFLxzSv-DS7oXfYogEQ9zWxeR0Q5hvrXdUFxWvq1l0D_Moka7xcUQt7YaA=s0
