id,artist,sculpt,name,img
a6e58ff7,Zero Keycaps,Juggy,OG,https://lh4.googleusercontent.com/acYbiQNbJZZI_LwGuKlqMIsY-dITBE56D18nFa_uAi6bp6_dfU51xlSnHxj9-B6HmF6tTmUVIZEdqmeKbjUjnFvkmjqcfIRSwU2pC8Y17OtNjmxq2wemuApMu7hwoombEAVVdTs3alw
8d07c0bd,Zero Keycaps,Juggy,Shiro,https://lh3.googleusercontent.com/hsbA3UNCnM3y-brNOLEiKvOZ5mGLLnLxjSJnSxD8yUCkpY6-zmvIztpIulXQE_6kf_0qM4tmnCDMgTdD15DDKJWINUfsVBdIv-SuZqvyAH5OlngixFQ4mZ9eaOvTOVEqO9X9hpgCFO4
902d917c,Zero Keycaps,Juggy,ShanShui,https://lh4.googleusercontent.com/8Z8jOls6nN5_jubsMti1WkUesIeQ8Mt8G9jdSJB0JYPMxRCz9zhm-Lj3hT7PrDQz4EBJVFh8e3epblxgYFP4iZChtOae1eS1LQb6ay3Fh6Il2pANko4OHa_U0GDXZtr-xjGJo2X2VMc
252aa98a,Zero Keycaps,Juggy,HouHai,https://lh6.googleusercontent.com/Ez6JNyqv4TfNC1csk8cneI0C4uYfXFFoB3z3typU4A1xgesC-GcdbPz0aePXz3LUSPxHh7sCRdRTV2xVmtBo1dsz25DjWVH28dD-Hs3BMopHnVE42ASwpaL-lCsBlA4SguMtxkpBCmc
5ad147a5,Zero Keycaps,Juggy,PinkBean,https://lh3.googleusercontent.com/Q8Xtj8wA9fpC_5RPqNBsV39G94f70DyvJNMq-y2Lhv61vSPeGTZNxJ4wwnegWvjtzxFoFyIK53KN-hHt7nDqH8ktucxvzK5_LYEARQ90Y5QDBOzvgAwmKCRprEO1NFjgFLPHueZFbpQ
dc4d353d,Zero Keycaps,Juggy,Beluga,https://lh5.googleusercontent.com/jdrbTwo7c0LEKIzlLkepaHwoTNoeMErQui62imE-sIw8z9Bmfn9K8VK6H2X3Mkvlp0hiZVxMUvOdHq32T2SbEanMMe_MwW0EkFK5cx-2kfnAg-leM86XjEDin-LPDoIQANwSlOjafho
b69edd44,Zero Keycaps,Juggy,TerrorBelow,https://lh5.googleusercontent.com/rO5e01YzJvO-ubpwazp6TesGxpmtBLTvbS6TqFG0iiVJCW3fmesJmYPT4DOpjaPtTk8UqqfAaLA97v5K3LDnoL6Ojwcna6fZsF-sboJxAbqegfdAKLOMDcheKpekFo7olk5izwEmf1o
db278079,Zero Keycaps,Juggy,OliviaDark,https://lh3.googleusercontent.com/6-0KbZ_m8KotQaQ5GeJf9eYYRzrkRcJBhVWvdNbrd-ViWru7I4eg-Rixg031-2QINQeUSQgxkHFH5ZkHUpwkJoofhM0SkzAqCc4Dh4kdFwYnv2mcB0HFy7j1Hps5swwRK35rj_xAp8g
10ee9892,Zero Keycaps,Juggy,OliviaLight,https://lh6.googleusercontent.com/93t70d7WMIb6yiaGxwriGVSjWTxEk6tQ05vgKjAAtlck4Azq0A-Vmrfbm21MoT2SFs1w5TlEshSlY19XamJSVoYFU5hA9NB6wGEJzbzURCGwFdE0fwOfNwNLsXNfti70VtNvRa0W8IM
b574f56b,Zero Keycaps,Juggy,Jack,https://lh6.googleusercontent.com/rChIivPKfJwtbneOIuj2vPUcn4y4_GkXYBDveeR00oYNm-lhIdRd8zo9f1GRz5WE3Zqk64GKagPJW-xkfyB09Hjh0GpAl0EnefeVjHWP9WYmy5cFzUR4qhV7DzfdsHuDOYhXHiXIMn4
5da9595e,Zero Keycaps,Juggy,Satanic,https://lh5.googleusercontent.com/U33aEd-SMoqhRgA56qLDEmmYhMWsTqVD5x3x1tJoTIroaJ0ubKcROATjSotp6_aaPW-0ehVzXuffB0woP8_jH13eihA4083saIVzBjE2jOQnEt8oGbJqoOQmokQxcg7aQwGaQiZ4dSQ
c8f112c1,Zero Keycaps,Porri,OG,https://lh4.googleusercontent.com/phdOfLvS8z5wSPGEJ3L4JtLSd5r3CK7QZkJRRl2dV9AarIMjkd9fmdw5SzWWHdQjxioDMT0Gx2L9XBC3zqfP5azX2wKHdz6Bj9FMNmQo3TXeIC86ZoCXc9SQ5a6UFEInMM1MM8Kiztg
